uniq_id,ru_old_orth,ru_new_orth,lc_translit_old,lc_translit_new,alt_name_old_orth,alt_name_new_orth,alt_name_old_trans,alt_name_new_trans,beg_yr,end_yr,xy_type,x_coord,y_coord,pres_loc,pres_country,country_code,ru_old_featuretype,ru_new_featuretype,ru_translit_old_featuretype,ru_translit_new_featuretype,en_featuretype,id_featuretype,lc_featuretype,admin_level,SOURCE,description,geonameId,partof_id,txt_id
23,Пермское Намѣстничество,Пермское Наместничество,Permskoe Namiestnichestvo,Permskoe Namestnichestvo,,,,,1785,1796,POINT,56.248889,58.013889,"Perm, Perm Krai",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
24,Полотское Намѣстничество,Полотское Наместничество,Polotskoe Namiestnichestvo,Polotskoe Namestnichestvo,,,,,1785,1796,POINT,28.7856,55.4879,"Polatsk, Vitebsk Region",Belarus,BY,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
25,Псковское Намѣстничество,Псковское Наместничество,Pskovskoe Namiestnichestvo,Pskovskoe Namestnichestvo,,,,,1785,1796,POINT,28.333333,57.816667,"Pskov, Pskov Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
26,Ревельское Намѣстничество,Ревельское Наместничество,Revel'skoe Namiestnichestvo,Revel'skoe Namestnichestvo,,,,,1785,1796,POINT,24.745278,59.437222,"Tallinn, Harju County",Estonia,EE,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
27,Рижское Намѣстничество,Рижское Наместничество,Rizhskoe Namiestnichestvo,Rizhskoe Namestnichestvo,,,,,1785,1796,POINT,24.106944,56.9475,"Rīga, Rīgas pilsēta",Latvia,LV,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
28,Рязанское Намѣстничество,Рязанское Наместничество,Riazanskoe Namiestnichestvo,Riazanskoe Namestnichestvo,,,,,1785,1796,POINT,39.716667,54.616667,"Ryazan, Ryazan Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
29,Саратовское Намѣстничество,Саратовское Наместничество,Saratovskoe Namiestnichestvo,Saratovskoe Namestnichestvo,,,,,1785,1796,POINT,46,51.533333,"Saratov, Saratov Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
30,Синбирское Намѣстничество,Синбирское Наместничество,Sinbirskoe Namiestnichestvo,Sinbirskoe Namestnichestvo,,,,,1785,1796,POINT,48.366667,54.316667,"Ulyanovsk, Ulyanovsk Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
31,Смоленское Намѣстничество,Смоленское Наместничество,Smolenskoe Namiestnichestvo,Smolenskoe Namestnichestvo,,,,,1785,1796,POINT,32.045278,54.782778,"Smolensk, Smolensk Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
32,Тамбовское Намѣстничество,Тамбовское Наместничество,Tambovskoe Namiestnichestvo,Tambovskoe Namestnichestvo,,,,,1785,1796,POINT,41.433333,52.716667,"Tambov, Tambov Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
33,Тверское Намѣстничество,Тверское Наместничество,Tverskoe Namiestnichestvo,Tverskoe Namestnichestvo,,,,,1785,1796,POINT,35.921928,56.857828,"Tver, Tver Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
34,Тобольское Намѣстничество,Тобольское Наместничество,Tobol'skoe Namiestnichestvo,Tobol'skoe Namestnichestvo,,,,,1785,1796,POINT,68.258056,58.195278,"Tobolsk, Tyumen Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
35,Тульское Намѣстничество,Тульское Наместничество,Tul'skoe Namiestnichestvo,Tul'skoe Namestnichestvo,,,,,1785,1796,POINT,37.61822,54.19609,"Tula, Tula Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
36,Уфимское Намѣстничество,Уфимское Наместничество,Ufimskoe Namiestnichestvo,Ufimskoe Namestnichestvo,,,,,1785,1796,POINT,55.966667,54.733333,"Ufa, Bashkortostan",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
37,Харьковское Намѣстничество,Харьковское Наместничество,Khar'kovskoe Namiestnichestvo,Khar'kovskoe Namestnichestvo,,,,,1785,1796,POINT,36.229167,50,"Kharkiv, Kharkiv Oblast",Ukraine,UA,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
38,Черниговское Намѣстничество,Черниговское Наместничество,Chernigovskoe Namiestnichestvo,Chernigovskoe Namestnichestvo,,,,,1785,1796,POINT,31.28488,51.50551,"Chernihiv, Chernihivs'ka oblast",Ukraine,UA,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
39,Ярославское Намѣстничество,Ярославское Наместничество,Iaroslavskoe Namiestnichestvo,Iaroslavskoe Namestnichestvo,,,,,1785,1796,POINT,39.85,57.616667,"Yaroslavl, Yaroslavl Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
40,Донскихъ Козаковъ Область,Донских Козаков Область,"Donskikh"" Kozakov"" Oblast'",Donskikh Kozakov Oblast',,,,,1785,1796,POINT,40.09132,47.42018,"Novocherkassk, Rostov Oblast",Russia,RU,Область,Область,Oblast',Oblast',Region,,,adminL1,,,,756,
41,Ст Петербургская Губернія,Ст Петербургская Губерния,St Peterburgskaia Gubernіia,St Peterburgskaia Guberniia,,,,,1785,1796,POINT,30.31413,59.93863,Saint Petersburg,Russia,RU,Губернія,Губерния,Gubernіia,Guberniia,Province,,,adminL1,,,,756,
42,Московский уѣздѣ,Московский уезд,Moskovskii uiezdie,Moskovskii uezd,,,,,1785,1796,POINT,37.617778,55.751667,"Moscow, Moscow",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,1,
43,Архангельский уѣздѣ,Архангельский уезд,Arkhangel'skii uiezdie,Arkhangel'skii uezd,,,,,1785,1796,POINT,40.533333,64.533333,"Arkhangelsk, Arkhangelsk Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,2,
44,Владимерский уѣздѣ,Владимерский уезд,Vladimerskii uiezdie,Vladimerskii uezd,,,,,1785,1796,POINT,40.416667,56.133333,"Vladimir, Vladimir Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,3,
45,Вологодский уѣздѣ,Вологодский уезд,Vologodskii uiezdie,Vologodskii uezd,,,,,1785,1796,POINT,39.88398,59.2239,"Vologda, Vologda Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,4,
46,Воронежский уѣздѣ,Воронежский уезд,Voronezhskii uiezdie,Voronezhskii uezd,,,,,1785,1796,POINT,39.210556,51.671667,"Voronezh, Voronezh Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,5,
47,Выборгский уѣздѣ,Выборгский уезд,Vyborgskii uiezdie,Vyborgskii uezd,,,,,1785,1796,POINT,28.744167,60.709167,"Vyborg, Leningrad Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,6,
48,Виатский уѣздѣ,Виатский уезд,Viatskii uiezdie,Viatskii uezd,,,,,1785,1796,POINT,49.65,58.6,"Kirov, Kirov Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,7,
49,Екатеринославский уѣздѣ,Екатеринославский уезд,Ekaterinoslavskii uiezdie,Ekaterinoslavskii uezd,,,,,1785,1796,POINT,35.018155,48.466601,"Dnepropetrovsk, Dnipropetrovsk Oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,8,
50,Иркутский уѣздѣ,Иркутский уезд,Irkutskii uiezdie,Irkutskii uezd,,,,,1785,1796,POINT,104.29639,52.29778,"Irkutsk, Irkutsk Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,9,
51,Астраханский уѣздѣ,Астраханский уезд,Astrakhanskii uiezdie,Astrakhanskii uezd,,,,,1785,1796,POINT,48.036667,46.323611,"Astrakhan, Astrakhan Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,10,
52,Казанский уѣздѣ,Казанский уезд,Kazanskii uiezdie,Kazanskii uezd,,,,,1785,1796,POINT,49.114444,55.790833,"Kazan, Tatarstan",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,11,
53,Калужский уѣздѣ,Калужский уезд,Kaluzhskii uiezdie,Kaluzhskii uezd,,,,,1785,1796,POINT,36.266667,54.533333,"Kaluga, Kaluga Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
54,Киевский уѣздѣ,Киевский уезд,Kievskii uiezdie,Kievskii uezd,,,,,1785,1796,POINT,30.523333,50.45,"Kiev, Kyiv city",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,13,
55,Костромский уѣздѣ,Костромский уезд,Kostromskii uiezdie,Kostromskii uezd,,,,,1785,1796,POINT,40.933333,57.766667,"Kostroma, Kostroma Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,14,
56,Курский уѣздѣ,Курский уезд,Kurskii uiezdie,Kurskii uezd,,,,,1785,1796,POINT,36.183333,51.716667,"Kursk, Kursk Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,15,
57,Могилевский уѣздѣ,Могилевский уезд,Mogilevskii uiezdie,Mogilevskii uezd,,,,,1785,1796,POINT,30.35,53.916667,"Mahilyow, Mogilev Province",Belarus,BY,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,16,
58,Нижегородский уѣздѣ,Нижегородский уезд,Nizhegorodskii uiezdie,Nizhegorodskii uezd,,,,,1785,1796,POINT,44.00205,56.32867,"Nizhny Novgorod, Nizhny Novgorod Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,17,
59,Новогородский уѣздѣ,Новогородский уезд,Novogorodskii uiezdie,Novogorodskii uezd,,,,,1785,1796,POINT,31.27104,58.52131,"Veliky Novgorod, Novgorod Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,18,
60,Новогород - Северский уѣздѣ,Новогород - Северский уезд,Novogorod - Severskii uiezdie,Novogorod - Severskii uezd,,,,,1785,1796,POINT,33.266667,51.983333,"Novhorod-Sivers'kyi, Chernihivs'ka oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,19,
61,Олонецкий уѣздѣ,Олонецкий уезд,Olonetskii uiezdie,Olonetskii uezd,,,,,1785,1796,POINT,34.35,61.783333,"Petrozavodsk, Republic of Karelia",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,20,
62,Орловский уѣздѣ,Орловский уезд,Orlovskii uiezdie,Orlovskii uezd,,,,,1785,1796,POINT,36.066667,52.966667,"Oryol, Oryol Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,21,
63,Пензенский уѣздѣ,Пензенский уезд,Penzenskii uiezdie,Penzenskii uezd,,,,,1785,1796,POINT,45,53.2,"Penza, Penza Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,22,
64,Пермский уѣздѣ,Пермский уезд,Permskii uiezdie,Permskii uezd,,,,,1785,1796,POINT,56.248889,58.013889,"Perm, Perm Krai",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,23,
65,Полотский уѣздѣ,Полотский уезд,Polotskii uiezdie,Polotskii uezd,,,,,1785,1796,POINT,28.7856,55.4879,"Polatsk, Vitebsk Region",Belarus,BY,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,24,
66,Псковский уѣздѣ,Псковский уезд,Pskovskii uiezdie,Pskovskii uezd,,,,,1785,1796,POINT,28.333333,57.816667,"Pskov, Pskov Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,25,
67,Ревельский уѣздѣ,Ревельский уезд,Revel'skii uiezdie,Revel'skii uezd,,,,,1785,1796,POINT,24.745278,59.437222,"Tallinn, Harju County",Estonia,EE,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,26,
68,Рижский уѣздѣ,Рижский уезд,Rizhskii uiezdie,Rizhskii uezd,,,,,1785,1796,POINT,24.106944,56.9475,"Rīga, Rīgas pilsēta",Latvia,LV,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,27,
69,Рязанский уѣздѣ,Рязанский уезд,Riazanskii uiezdie,Riazanskii uezd,,,,,1785,1796,POINT,39.716667,54.616667,"Ryazan, Ryazan Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,28,
70,Саратовский уѣздѣ,Саратовский уезд,Saratovskii uiezdie,Saratovskii uezd,,,,,1785,1796,POINT,46,51.533333,"Saratov, Saratov Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,29,
71,Синбирский уѣздѣ,Синбирский уезд,Sinbirskii uiezdie,Sinbirskii uezd,,,,,1785,1796,POINT,48.366667,54.316667,"Ulyanovsk, Ulyanovsk Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,30,
72,Смоленский уѣздѣ,Смоленский уезд,Smolenskii uiezdie,Smolenskii uezd,,,,,1785,1796,POINT,32.045278,54.782778,"Smolensk, Smolensk Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,31,
73,Тамбовский уѣздѣ,Тамбовский уезд,Tambovskii uiezdie,Tambovskii uezd,,,,,1785,1796,POINT,41.433333,52.716667,"Tambov, Tambov Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,32,
74,Тверский уѣздѣ,Тверский уезд,Tverskii uiezdie,Tverskii uezd,,,,,1785,1796,POINT,35.921928,56.857828,"Tver, Tver Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,33,
75,Тобольский уѣздѣ,Тобольский уезд,Tobol'skii uiezdie,Tobol'skii uezd,,,,,1785,1796,POINT,68.258056,58.195278,"Tobolsk, Tyumen Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,34,
76,Тульский уѣздѣ,Тульский уезд,Tul'skii uiezdie,Tul'skii uezd,,,,,1785,1796,POINT,37.61822,54.19609,"Tula, Tula Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,35,
77,Уфимский уѣздѣ,Уфимский уезд,Ufimskii uiezdie,Ufimskii uezd,,,,,1785,1796,POINT,55.966667,54.733333,"Ufa, Bashkortostan",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,36,
78,Харьковский уѣздѣ,Харьковский уезд,Khar'kovskii uiezdie,Khar'kovskii uezd,,,,,1785,1796,POINT,36.229167,50,"Kharkiv, Kharkiv Oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,37,
79,Черниговский уѣздѣ,Черниговский уезд,Chernigovskii uiezdie,Chernigovskii uezd,,,,,1785,1796,POINT,31.28488,51.50551,"Chernihiv, Chernihivs'ka oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,38,
80,Ярославский уѣздѣ,Ярославский уезд,Iaroslavskii uiezdie,Iaroslavskii uezd,,,,,1785,1796,POINT,39.85,57.616667,"Yaroslavl, Yaroslavl Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,39,
81,Алатырьский уѣздѣ,Алатырьский уезд,Alatyr'skii uiezdie,Alatyr'skii uezd,,,,,1785,1796,POINT,46.5813,54.8421,"Alatyr', Chuvashia Republic",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,30,
82,Алексинский уѣздѣ,Алексинский уезд,Aleksinskii uiezdie,Aleksinskii uezd,,,,,1785,1796,POINT,37.0674,54.50503,"Aleksin, Tula Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,35,
83,Арзамаский уѣздѣ,Арзамаский уезд,Arzamaskii uiezdie,Arzamaskii uezd,,,,,1785,1796,POINT,43.83992,55.39485,"Arzamas, Nizhny Novgorod Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,17,
84,Ахтырский уѣздѣ,Ахтырский уезд,Akhtyrskii uiezdie,Akhtyrskii uezd,,,,,1785,1796,POINT,34.89879,50.31036,"Okhtyrka, Sums'ka oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,37,
85,Бабиновецкий уѣздѣ,Бабиновецкий уезд,Babinovetskii uiezdie,Babinovetskii uezd,,,,,1785,1796,POINT,30.5725,54.8351,"Babinavichy, Vitebsk Region",Belarus,BY,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,16,
86,Бежецкий уѣздѣ,Бежецкий уезд,Bezhetskii uiezdie,Bezhetskii uezd,,,,,1785,1796,POINT,36.69651,57.78506,"Bezhetsk, Tver Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,33,
87,Белевский уѣздѣ,Белевский уезд,Belevskii uiezdie,Belevskii uezd,,,,,1785,1796,POINT,36.13194,53.81194,"Belyov, Tula Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,35,
88,Белицкий уѣздѣ,Белицкий уезд,Belitskii uiezdie,Belitskii uezd,,,,,1785,1796,POINT,30.4122,52.9395,"Белицк, Homiel Province",Belarus,BY,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,16,
89,Белогородский уѣздѣ,Белогородский уезд,Belogorodskii uiezdie,Belogorodskii uezd,,,,,1785,1796,POINT,36.58015,50.61074,"Belgorod, Belgorod Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,15,
90,Белозерскъ городъ,Белозерск город,"Belozersk"" gorod""",Belozersk gorod,,,,,1785,1796,POINT,37.8084,60.0288,"Belozersk, Vologda Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,18,
91,Валуйский уѣздѣ,Валуйский уезд,Valuiskii uiezdie,Valuiskii uezd,,,,,1785,1796,POINT,38.1067,50.2035,"Valuyki, Belgorod Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,5,
92,Великолуцкий уѣздѣ,Великолуцкий уезд,Velikolutskii uiezdie,Velikolutskii uezd,,,,,1785,1796,POINT,30.54517,56.34,"Velikiye Luki, Pskov Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,25,
93,Веневский уѣздѣ,Веневский уезд,Venevskii uiezdie,Venevskii uezd,,,,,1785,1796,POINT,38.26843,54.35533,"Venyov, Tula Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,35,
