,ru_old_orth,alt_name_old_orth,ru_old_featuretype,ru_prov,ru_uezd,description,page,SOURCE,html_text,ru_new_orth,prov_modern_sp,uezd_modern_sp,prov_stem,uezd_stem,admin_hierarchy,admin1_partofID,admin2_partofID,partof_id
17,Антоновка,,мѣстечко,Могилевскаго Намѣстничества,Рогачевскомъ уѣздѣ,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко </span><span class=""font0"">Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.</span>",Антоновка,Могилевского Наместничества,Рогачевском уезде,могилевск,рогачевск,могилевск|рогачевск,16.0,141.0,141.0
18,Апичерская,,пустыня,Синбирскаго Намѣстничества,Алатырьскомъ уѣздѣ,"АПИЧЕРСКАЯ, пустыня Синбирскаго Намѣстничества въ Алатырьскомъ уѣздѣ; здѣсь бываетъ ярмарка въ день Каванскія Богородицы. На сію ярмарку пріѣзжаютъ со всякими шелковыми и прочими товарами изъ Москвы и изъ другихъ городовъ купцы, такожь и крестьяне.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АПИЧЕРСКАЯ, </span><span class=""font0"" style=""font-style:italic;"">пустыня </span><span class=""font0"">Синбирскаго Намѣстничества въ Алатырьскомъ уѣздѣ; здѣсь бываетъ ярмарка въ день Каванскія Богородицы. На сію ярмарку пріѣзжаютъ со всякими шелковыми и прочими товарами изъ Москвы и изъ другихъ городовъ купцы, такожь и крестьяне.</span>",Апичерская,Синбирского Наместничества,Алатырьском уезде,синбирск,алатырьск,синбирск|алатырьск,30.0,81.0,81.0
19,Аргамачья,,слобода,Орловскаго Намѣстничества,Елецкомъ уѣздѣ,"АРГАМАЧЬЯ , слобода Орловскаго Намѣстничества въ Елецкомъ уѣздѣ. Здѣсь бываетъ ярмарка Сентября 8 дня, на которой торгуютъ Елецкіе и другихъ городовъ купцы съ уѣздными обывателями всякими разными мѣлочными товарами и дегтемъ; а обыватели продаютъ купцамъ и своей братьи лошадей, скотину, холстъ, съѣстные всякіе припасы и рукодѣлія.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРГАМАЧЬЯ , </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Орловскаго Намѣстничества въ Елецкомъ уѣздѣ. Здѣсь бываетъ ярмарка Сентября 8 дня, на которой торгуютъ Елецкіе и другихъ городовъ купцы съ уѣздными обывателями всякими разными мѣлочными товарами и дегтемъ; а обыватели продаютъ купцамъ и своей братьи лошадей, скотину, холстъ, съѣстные всякіе припасы и рукодѣлія.</span>",Аргамачья,Орловского Наместничества,Елецком уезде,орловск,елецк,орловск|елецк,21.0,183.0,183.0
20,Арзамасъ,,городъ,Нижегородскаго Намѣстничества,not_in_text,"АРЗАМАСЪ, городъ Нижегородскаго Намѣстничества. Здѣсь обыкновенно бываетъ торговыхъ въ недѣлѣ два Дни.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРЗАМАСЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Нижегородскаго Намѣстничества. Здѣсь обыкновенно бываетъ торговыхъ въ недѣлѣ два Дни.</span>",Арзамас,Нижегородского Наместничества,not_иn_text,нижегородск,нот_ин_теxт,нижегородск,17.0,,17.0
21,Артемоновка,,слобода,Харьковскаго Намѣстничества,Харьковскаго уѣздѣ,"АРТЕМОНОВКА , слобода Харьковскаго Намѣстничества и уѣзду; здѣсь бываютъ ярмарки Іюля 8 и Ноября 21, Торгуютъ купцы мѣлочными товарами , пивомъ, медомъ и прочимъ.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРТЕМОНОВКА , </span><span class=""font0"" style=""font-style:italic;"">слобода </span><span class=""font0"">Харьковскаго Намѣстничества и уѣзду; здѣсь бываютъ ярмарки Іюля 8 и Ноября 21, Торгуютъ купцы мѣлочными товарами , пивомъ, медомъ и прочимъ.</span>",Артемоновка,Харьковского Наместничества,Харьковского уезде,харьковск,харьковск,харьковск|харьковск,37.0,78.0,78.0
22,Архангельскъ,,главный городъ,Архангельскъ Намѣстничества,not_in_text,"АРХАНГЕЛЬСКЪ, главный городъ Намѣстничества сего имени. Въ немъ бываетъ каждой годъ ярмарка , которая начинается въ Маіѣ мѣсяцѣ съ приходомъ изъ Россіи барокъ, а изъ за моря кораблей; прямая же, или валовая начинается всегда въ Іюнѣ, а оканчивается въ первыхъ числахъ Октября ; на ней бываетъ торговля ме-жду иностранными и Россійскими купцами Россійскими и иностранными товарами , продолжающаяся во время мореплаванія, на которую ярмарку иностранные купцы всякіе иностранные товары чрезъ море на корабляхъ изъ чужихъ краевъ къ Архангельскому порту привозятъ; а Россійскіе въ тѣ мѣста отпускаютъ всякіе привозимые чрезъ верховые города водою и сухимъ путемъ Россійскіе, Китайскіе, Персидскіе, Турецкіе и прочіе Азіатскіе и другіе иностранные товары для народнаго употребленія, а не въ отвозъ въ чужіе край, а именно же: привозимыя вина Французскія, Португальскія, Гишпанскія и Нѣмецкія лучшія и ординарныя, ромъ, уксусъ, водка венгерская, еликсиръ , винной, камень , сукна Голландскія , Аглинскія , Гамбурскія, Шлезскія и прочія лучшія и ординарныя, лоскутья и покроми суконныя , стамеды , штофы и прочія тому подобныя шерстяныя матеріи ; штофы и прочія шелковыя и полушелковыя парчи и ленты , выбойки , полотна Голландскія, олово въ блюдахъ и торѣлкахъ и прочихъ мѣдочахъ , прутовое и въ слиткахъ , свинецъ, желѣзо листовое , иглы , ножи , вилки , ножницы и прочіе желѣзные товары; квасцы, ртуть, сѣра горючая , шелакъ, шпіатеръ, масло деревянное, винныя ягоды , изюмъ , коринка , смоквы, черносливъ, ядры мигдальныя , кофе , чай , перецъ , орѣшки чернильныя , сандалъ, сахаръ, лимоны, померанцы и прочіе фрукты свѣжіе и въ винѣ; гвоздика, корица и прочія пряныя зелья ; канфара, ладонъ росной и простой, изъ гумми разныхъ сортовъ; посуда стеклянная, цѣнинная и каменая , стеклы окончинныя и бутылки , сыры , патока черная, пшено сорочинское , свѣтильня бумажная, бобры, выдры, лисицы; краски , консель брусковая, киноварь, оринакъ; чулки шелковые и шерстяные , также и прочіе отпускные , какъ - то: хлѣбъ , сѣмя льняное, сало говяжье и ворванная смола, юфть, желѣзо полосное и гвозди желѣзные , пенька, ленѣ , рогожии кульки рогожные ; щетина , канаты и веревки пеньковыя и пакальныя , пряжа канатная, воскъ, гривы конскія , кости , кожи моржевыя , мыло ; мягкая рухлядь , куницы , горнаcтаи , россомахи , бѣлки , песцы, зайчины , мѣхи бѣльи и заячьи , кожи медвежьи, кошечьи и волчьи; полотна гладкія и салфеточныя широкія и узкія и брань уѣздной работы, Фламскія парусныя и равендукъ холстъ , хрящъ, посуда деревянная, свѣчи сальныя, языки говяжьи копченые, губа лиственная , клей Сибирской, кожи подошевныя и ворванныя, сукна сермяжныя и чирковыя туфли, чаи жуланъ и простой, бадьянъ, масло коровье льняное и конопляное, медъ сырецъ, рога оленьи , мясо говяжье соленое , семга соленая , пряники медовые.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРХАНГЕЛЬСКЪ, </span><span class=""font0"" style=""font-style:italic;"">главный городъ</span><span class=""font0""> Намѣстничества сего имени. Въ немъ бываетъ каждой годъ ярмарка , которая начинается въ Маіѣ мѣсяцѣ съ приходомъ изъ Россіи барокъ, а изъ за моря кораблей; прямая же, или валовая начинается всегда въ Іюнѣ, а оканчивается въ первыхъ числахъ Октября ; на ней бываетъ торговля ме-</span>жду иностранными и Россійскими купцами Россійскими и иностранными товарами , продолжающаяся во время мореплаванія, на которую ярмарку иностранные купцы всякіе иностранные товары чрезъ море на корабляхъ изъ чужихъ краевъ къ Архангельскому порту привозятъ; а Россійскіе въ тѣ мѣста отпускаютъ всякіе привозимые чрезъ верховые города водою и сухимъ путемъ Россійскіе, Китайскіе, Персидскіе, Турецкіе и прочіе Азіатскіе и другіе иностранные товары для народнаго употребленія, а не въ отвозъ въ чужіе край, а именно же: привозимыя вина Французскія, Португальскія, Гишпанскія и Нѣмецкія лучшія и ординарныя, ромъ, уксусъ, водка венгерская, еликсиръ , винной, камень , сукна Голландскія , Аглинскія , Гамбурскія, Шлезскія и прочія лучшія и ординарныя, лоскутья и покроми суконныя , стамеды , штофы и прочія тому подобныя шерстяныя матеріи ; штофы и прочія шелковыя и полушелковыя парчи и ленты , выбойки , полотна Голландскія, олово въ блюдахъ и торѣлкахъ и прочихъ мѣдочахъ , прутовое и въ слиткахъ , свинецъ, желѣзо листовое , иглы , ножи , вилки , ножницы и прочіе желѣзные товары; квасцы, ртуть, сѣра горючая , шелакъ, шпіатеръ, масло деревянное, винныя ягоды , изюмъ , коринка , смоквы, черносливъ, ядры мигдальныя , кофе , чай , перецъ , орѣшки чернильныя , сандалъ, сахаръ, лимоны, померанцы и прочіе фрукты свѣжіе и въ винѣ; гвоздика, корица и прочія пряныя зелья ; канфара, ладонъ росной и простой, изъ гумми разныхъ сортовъ; посуда стеклянная, цѣнинная и каменая , стеклы окончинныя и бутылки , сыры , патока черная, пшено сорочинское , свѣтильня бумажная, бобры, выдры, лисицы; краски , консель брусковая, киноварь, оринакъ; чулки шелковые и шерстяные , также и прочіе отпускные , какъ - то: хлѣбъ , сѣмя льняное, сало говяжье и ворванная смола, юфть, желѣзо полосное и гвозди желѣзные , пенька, ленѣ , рогожии кульки рогожные ; щетина , канаты и веревки пеньковыя и пакальныя , пряжа канатная, воскъ, гривы конскія , кости , кожи моржевыя , мыло ; мягкая рухлядь , куницы , горнаcтаи , россомахи , бѣлки , песцы, зайчины , мѣхи бѣльи и заячьи </span><span class=""font0"" style=""font-style:italic;"">, </span><span class=""font0"">кожи медвежьи, кошечьи и волчьи; полотна гладкія и салфеточныя широкія и узкія и брань уѣздной работы, Фламскія парусныя и равендукъ холстъ , хрящъ, посуда деревянная, свѣчи сальныя, языки говяжьи копченые, губа лиственная , клей Сибирской, кожи подошевныя и ворванныя, сукна сермяжныя и чирковыя туфли, чаи жуланъ и простой, бадьянъ, масло коровье льняное и конопляное, медъ сырецъ, рога оленьи , мясо говяжье соленое , семга соленая , пряники медовые.",Архангельск,Архангельск Наместничества,not_иn_text,архангельск,нот_ин_теxт,архангельск,2.0,,2.0
23,Архангельское,Змѣевка,село,Рязанскаго Намѣстничества,Донковскомъ уѣздѣ,"АРХАНГЕЛЬСКОЕ, ЗМѢЕВКА тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ ; въ ономъ бываютъ въ году двѣ ярмарки: первая Февраля 2 въ день Срѣтенія Господня , внорая Ноября 8, въ день Архистратига Михаила. Сюда пріѣзжаютъ купцы съ разными мѣлочными. товарами.",14,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АРХАНГЕЛЬСКОЕ, ЗМѢЕВКА тожь, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ ; въ ономъ бываютъ въ году двѣ ярмарки: первая Февраля 2 въ день Срѣтенія Господня , внорая Ноября 8, въ день Архистратига Михаила. Сюда пріѣзжаютъ купцы съ разными мѣлочными. товарами.</span>",Архангельское,Рязанского Наместничества,Донковском уезде,рязанск,донковск,рязанск|донковск,28.0,101.0,101.0
24,Асаково,,село,Тульскаго Намѣстничества,Веневскомъ уѣздѣ,"АСАКОВО , село Тульскаго Намѣстничества въ Веневскомъ уѣздѣ ; здѣсь бываетъ годовая ярмарка Іюля 8 числа; пріѣзжаютъ на оную разныхъ городовъ купцы съ товарами.",14,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АСАКОВО , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тульскаго Намѣстничества въ Веневскомъ уѣздѣ </span><span class=""font0"" style=""font-style:italic;"">;</span><span class=""font0""> здѣсь бываетъ годовая ярмарка Іюля 8 числа; пріѣзжаютъ на оную разныхъ городовъ купцы съ товарами.</span>",Асаково,Тульского Наместничества,Веневском уезде,тульск,веневск,тульск|веневск,35.0,93.0,93.0
25,Астрахань,,городъ,Кавказскаго Намѣстничества,not_in_text,"АСТРАХАНЬ , городъ Кавказскаго Намѣстничества. Въ семъ городѣ бываетъ ярмарка каждолѣтно; Россійскіе купцы, Армяне и Татары торгуютъ съ Персіанами, Армянами, Индѣйцами и прочими, разными Европейскими и Азіатскими товарами.",14,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АСТРАХАНЬ , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Кавказскаго Намѣстничества. Въ семъ городѣ бываетъ ярмарка каждолѣтно; Россійскіе купцы, Армяне и Татары торгуютъ съ Персіанами, Армянами, Индѣйцами и прочими, разными Европейскими и Азіатскими товарами.</span>",Астрахань,Кавказского Наместничества,not_иn_text,кавказск,нот_ин_теxт,кавказск,10.0,,10.0
26,Атемаръ,,село,Пензенскаго Намѣстничества,Саранскомъ уѣздѣ,"АТЕМАРЪ, село Пензенскаго Намѣстничества въ Саранскомъ уѣздѣ. Здѣсь бываетъ ярмарка въ послѣднихъ числахъ Іюля мѣсяца; привозятъ купцы разные мѣлочные шелковые товары.",14,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АТЕМАРЪ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Пензенскаго Намѣстничества въ Саранскомъ уѣздѣ. Здѣсь бываетъ ярмарка въ послѣднихъ числахъ Іюля мѣсяца; привозятъ купцы разные мѣлочные шелковые товары.</span>",Атемар,Пензенского Наместничества,Саранском уезде,пензенск,саранск,пензенск|саранск,22.0,144.0,144.0
27,Аткарскъ,,городъ,Саратовскаго Намѣстничества,not_in_text,"АТКАРСКЪ, городъ Саратовскаго Намѣстничества; здѣсь въ городѣ бываетъ еженедѣльной торгъ, а въ округъ онаго въ нѣкоторымъ селеніяхъ на рѣчкѣ Терсѣ и Болондѣ торж-к и, гдѣ производятся продажи , также какъ и въ другихъ сей Губерніи мѣстахъ.",14,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АТКАРСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Саратовскаго Намѣстничества; здѣсь въ городѣ бываетъ еженедѣльной торгъ, а въ округъ онаго въ нѣкоторымъ селеніяхъ на рѣчкѣ </span><span class=""font0"" style=""font-style:italic;"">Терсѣ </span><span class=""font0"">и</span><span class=""font0"" style=""font-style:italic;""> Болондѣ</span><span class=""font0""> торж-</span>к и, гдѣ производятся продажи , также какъ и въ другихъ сей Губерніи мѣстахъ.",Аткарск,Саратовского Наместничества,not_иn_text,саратовск,нот_ин_теxт,саратовск,29.0,,29.0
