,hgr_id,name,alt_name,partof_id,lng,lat,_type,source_url,text,name_modern_sp,result_placename,searched_placename,admin1,country_name,src_id,country_code,url,local_result,src,ru_prov,prov_modern_sp,prov_stem,ru_uezd,uezd_modern_sp,uezd_stem,page,lc_translit
59,14,Алешня,,48.0,35.61034,53.92495,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕШНЯ, слобода Курскаго Намѣстничества въ Бѣлогородскомъ уѣздѣ; въ оной бываетъ въ году три ярмарки : первая Іюля 17, вторая Сентября 6, третія Декабря 4. Купцы на оныя пріѣзжаютъ изъ ближайшихъ городовъ; торгуютъ сукнами, шелковыми , бумажными и набойчатыми товарами , желѣзомъ, полотномъ , посудою и прочимъ.",Алешня,Alëshnya,Алешня,Kaluga,Russia,582630,RU,http://api.geonames.org/search?type=json&south=47.716667&west=32.183333&east=40.183333&north=55.716667&name=%D0%90%D0%BB%D0%B5%D1%88%D0%BD%D1%8F&username=jaguillette&featureClass=P,geonames_jsons/Алешня_14.json,geonames,Курскаго Намѣстничества,Курского Наместничества,курск,Бѣлогородскомъ уѣздѣ,Белогородском уезде,белогородск,11,Aleshnia
60,14,Алешня,,48.0,33.45958,53.63586,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕШНЯ, слобода Курскаго Намѣстничества въ Бѣлогородскомъ уѣздѣ; въ оной бываетъ въ году три ярмарки : первая Іюля 17, вторая Сентября 6, третія Декабря 4. Купцы на оныя пріѣзжаютъ изъ ближайшихъ городовъ; торгуютъ сукнами, шелковыми , бумажными и набойчатыми товарами , желѣзомъ, полотномъ , посудою и прочимъ.",Алешня,Alëshnya,Алешня,Brjansk,Russia,582631,RU,http://api.geonames.org/search?type=json&south=47.716667&west=32.183333&east=40.183333&north=55.716667&name=%D0%90%D0%BB%D0%B5%D1%88%D0%BD%D1%8F&username=jaguillette&featureClass=P,geonames_jsons/Алешня_14.json,geonames,Курскаго Намѣстничества,Курского Наместничества,курск,Бѣлогородскомъ уѣздѣ,Белогородском уезде,белогородск,11,Aleshnia
72,17,Антоновка,,113.0,31.7801,53.1068,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",Антоновка,Antonovka,Антоновка,Brjansk,Russia,581504,RU,http://api.geonames.org/search?type=json&south=51.9042&west=29.5408&east=32.863&north=55.194&name=%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Антоновка_17.json,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Рогачевскомъ уѣздѣ,Рогачевском уезде,рогачевск,12,Antonovka
73,17,Антоновка,,113.0,32.0222,53.4463,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",Антоновка,Antonovka,Антоновка,Mahilyowskaya Voblastsʼ,Belarus,630551,BY,http://api.geonames.org/search?type=json&south=51.9042&west=29.5408&east=32.863&north=55.194&name=%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Антоновка_17.json,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Рогачевскомъ уѣздѣ,Рогачевском уезде,рогачевск,12,Antonovka
74,17,Антоновка,,113.0,29.7994,52.7272,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",Антоновка,Antonovka,Антоновка,Gomel,Belarus,630554,BY,http://api.geonames.org/search?type=json&south=51.9042&west=29.5408&east=32.863&north=55.194&name=%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Антоновка_17.json,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Рогачевскомъ уѣздѣ,Рогачевском уезде,рогачевск,12,Antonovka
75,17,Антоновка,,113.0,30.6597,52.9173,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",Антоновка,Antonovka,Антоновка,Gomel,Belarus,815016,BY,http://api.geonames.org/search?type=json&south=51.9042&west=29.5408&east=32.863&north=55.194&name=%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Антоновка_17.json,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Рогачевскомъ уѣздѣ,Рогачевском уезде,рогачевск,12,Antonovka
76,17,Антоновка,,113.0,31.6581,53.4065,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",Антоновка,Antonovka,Антоновка,Mahilyowskaya Voblastsʼ,Belarus,630552,BY,http://api.geonames.org/search?type=json&south=51.9042&west=29.5408&east=32.863&north=55.194&name=%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Антоновка_17.json,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Рогачевскомъ уѣздѣ,Рогачевском уезде,рогачевск,12,Antonovka
77,17,Антоновка,,113.0,30.1476,52.9817,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",Антоновка,Antonovka,Антоновка,Gomel,Belarus,630553,BY,http://api.geonames.org/search?type=json&south=51.9042&west=29.5408&east=32.863&north=55.194&name=%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Антоновка_17.json,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Рогачевскомъ уѣздѣ,Рогачевском уезде,рогачевск,12,Antonovka
78,17,Антоновка,,113.0,31.2327,52.2431,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",Антоновка,Antonovka,Антоновка,Gomel,Belarus,630555,BY,http://api.geonames.org/search?type=json&south=51.9042&west=29.5408&east=32.863&north=55.194&name=%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Антоновка_17.json,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Рогачевскомъ уѣздѣ,Рогачевском уезде,рогачевск,12,Antonovka
79,17,Антоновка,,113.0,30.639,53.8124,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",Антоновка,Antonovka,Антоновка,Mahilyowskaya Voblastsʼ,Belarus,815387,BY,http://api.geonames.org/search?type=json&south=51.9042&west=29.5408&east=32.863&north=55.194&name=%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Антоновка_17.json,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Рогачевскомъ уѣздѣ,Рогачевском уезде,рогачевск,12,Antonovka
80,17,Антоновка,,113.0,31.52139,53.84694,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",Антоновка,Antonovka,Антоновка,Mahilyowskaya Voblastsʼ,Belarus,815587,BY,http://api.geonames.org/search?type=json&south=51.9042&west=29.5408&east=32.863&north=55.194&name=%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Антоновка_17.json,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Рогачевскомъ уѣздѣ,Рогачевском уезде,рогачевск,12,Antonovka
81,17,Антоновка,,113.0,31.2672,52.8814,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",Антоновка,Antonovka,Антоновка,Gomel,Belarus,629169,BY,http://api.geonames.org/search?type=json&south=51.9042&west=29.5408&east=32.863&north=55.194&name=%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Антоновка_17.json,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Рогачевскомъ уѣздѣ,Рогачевском уезде,рогачевск,12,Antonovka
82,17,Антоновка,,113.0,30.8954,53.7454,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",Антоновка,Antonawka,Антоновка,Mahilyowskaya Voblastsʼ,Belarus,630550,BY,http://api.geonames.org/search?type=json&south=51.9042&west=29.5408&east=32.863&north=55.194&name=%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Антоновка_17.json,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Рогачевскомъ уѣздѣ,Рогачевском уезде,рогачевск,12,Antonovka
83,17,Антоновка,,113.0,30.4326,54.4036,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",Антоновка,Antonawka,Антоновка,Vitsyebskaya Voblastsʼ,Belarus,8281016,BY,http://api.geonames.org/search?type=json&south=51.9042&west=29.5408&east=32.863&north=55.194&name=%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Антоновка_17.json,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Рогачевскомъ уѣздѣ,Рогачевском уезде,рогачевск,12,Antonovka
90,23,Архангельское,Змѣевка,62.0,39.6618,53.47437,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АРХАНГЕЛЬСКОЕ, ЗМѢЕВКА тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ ; въ ономъ бываютъ въ году двѣ ярмарки: первая Февраля 2 въ день Срѣтенія Господня , внорая Ноября 8, въ день Архистратига Михаила. Сюда пріѣзжаютъ купцы съ разными мѣлочными. товарами.",Архангельское,Arkhangel’skoye,Архангельское,Lipetsk,Russia,581008,RU,http://api.geonames.org/search?type=json&south=53.0517&west=38.154&east=41.6952&north=55.9254&name=%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5&username=jaguillette&featureClass=P,geonames_jsons/Архангельское_23.json,geonames,Рязанскаго Намѣстничества,Рязанского Наместничества,рязанск,Донковскомъ уѣздѣ,Донковском уезде,донковск,14,Arkhangel'skoe
91,23,Архангельское,Змѣевка,62.0,39.28195,53.42716,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АРХАНГЕЛЬСКОЕ, ЗМѢЕВКА тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ ; въ ономъ бываютъ въ году двѣ ярмарки: первая Февраля 2 въ день Срѣтенія Господня , внорая Ноября 8, въ день Архистратига Михаила. Сюда пріѣзжаютъ купцы съ разными мѣлочными. товарами.",Архангельское,Arkhangel’skoye,Архангельское,Rjazan,Russia,581009,RU,http://api.geonames.org/search?type=json&south=53.0517&west=38.154&east=41.6952&north=55.9254&name=%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5&username=jaguillette&featureClass=P,geonames_jsons/Архангельское_23.json,geonames,Рязанскаго Намѣстничества,Рязанского Наместничества,рязанск,Донковскомъ уѣздѣ,Донковском уезде,донковск,14,Arkhangel'skoe
97,29,Баевка,,,47.61381,53.59693,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"БАЕВКА, село въ Сибири на вершинѣ рѣки Свіаги; въ ономъ всякое Воскресенье бываетъ торгъ.",Баевка,Bayevka,Баевка,Ulyanovsk,Russia,578593,RU,http://api.geonames.org/search?type=json&south=38.6&west=24.8&east=180&north=78.0&name=%D0%91%D0%B0%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Баевка_29.json,geonames,not_in_text,not_иn_text,нот_ин_теxт,not_in_text,not_иn_text,нот_ин_теxт,15,Baevka
98,29,Баевка,,,47.25693,53.09021,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"БАЕВКА, село въ Сибири на вершинѣ рѣки Свіаги; въ ономъ всякое Воскресенье бываетъ торгъ.",Баевка,Bayevka,Баевка,Ulyanovsk,Russia,578594,RU,http://api.geonames.org/search?type=json&south=38.6&west=24.8&east=180&north=78.0&name=%D0%91%D0%B0%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Баевка_29.json,geonames,not_in_text,not_иn_text,нот_ин_теxт,not_in_text,not_иn_text,нот_ин_теxт,15,Baevka
99,29,Баевка,,,46.7607,54.8292,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"БАЕВКА, село въ Сибири на вершинѣ рѣки Свіаги; въ ономъ всякое Воскресенье бываетъ торгъ.",Баевка,Bayevka,Баевка,Chuvashia,Russia,7596647,RU,http://api.geonames.org/search?type=json&south=38.6&west=24.8&east=180&north=78.0&name=%D0%91%D0%B0%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Баевка_29.json,geonames,not_in_text,not_иn_text,нот_ин_теxт,not_in_text,not_иn_text,нот_ин_теxт,15,Baevka
100,29,Баевка,,,38.2241,52.728,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"БАЕВКА, село въ Сибири на вершинѣ рѣки Свіаги; въ ономъ всякое Воскресенье бываетъ торгъ.",Баевка,Bayevka,Баевка,Lipetsk,Russia,7451853,RU,http://api.geonames.org/search?type=json&south=38.6&west=24.8&east=180&north=78.0&name=%D0%91%D0%B0%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Баевка_29.json,geonames,not_in_text,not_иn_text,нот_ин_теxт,not_in_text,not_иn_text,нот_ин_теxт,15,Baevka
101,29,Баевка,,,87.4139,53.7272,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"БАЕВКА, село въ Сибири на вершинѣ рѣки Свіаги; въ ономъ всякое Воскресенье бываетъ торгъ.",Баевка,Bayevka,Баевка,Kemerovo,Russia,7459077,RU,http://api.geonames.org/search?type=json&south=38.6&west=24.8&east=180&north=78.0&name=%D0%91%D0%B0%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Баевка_29.json,geonames,not_in_text,not_иn_text,нот_ин_теxт,not_in_text,not_иn_text,нот_ин_теxт,15,Baevka
102,29,Баевка,,,29.5914,55.2809,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"БАЕВКА, село въ Сибири на вершинѣ рѣки Свіаги; въ ономъ всякое Воскресенье бываетъ торгъ.",Баевка,Baëvka,Баевка,Vitsyebskaya Voblastsʼ,Belarus,8232907,BY,http://api.geonames.org/search?type=json&south=38.6&west=24.8&east=180&north=78.0&name=%D0%91%D0%B0%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Баевка_29.json,geonames,not_in_text,not_иn_text,нот_ин_теxт,not_in_text,not_иn_text,нот_ин_теxт,15,Baevka
103,29,Баевка,,,31.4713,53.8099,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"БАЕВКА, село въ Сибири на вершинѣ рѣки Свіаги; въ ономъ всякое Воскресенье бываетъ торгъ.",Баевка,Bayevka,Баевка,Mahilyowskaya Voblastsʼ,Belarus,630355,BY,http://api.geonames.org/search?type=json&south=38.6&west=24.8&east=180&north=78.0&name=%D0%91%D0%B0%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Баевка_29.json,geonames,not_in_text,not_иn_text,нот_ин_теxт,not_in_text,not_иn_text,нот_ин_теxт,15,Baevka
104,29,Баевка,,,35.58292,52.79498,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"БАЕВКА, село въ Сибири на вершинѣ рѣки Свіаги; въ ономъ всякое Воскресенье бываетъ торгъ.",Баевка,Nizhnyaya Bayevka,Баевка,Orjol,Russia,520420,RU,http://api.geonames.org/search?type=json&south=38.6&west=24.8&east=180&north=78.0&name=%D0%91%D0%B0%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&featureClass=P,geonames_jsons/Баевка_29.json,geonames,not_in_text,not_иn_text,нот_ин_теxт,not_in_text,not_иn_text,нот_ин_теxт,15,Baevka
