,lat_x,hgr_id,name,alt_name,partof_id,lng,lat_y,_type,source_url,text,name_modern_sp,result_placename,searched_placename,admin1,country_name,src_id,country_code,url,local_result,src,ru_prov,prov_modern_sp,prov_stem,admin1_partof,ru_uezd,uezd_modern_sp,uezd_stem,admin2_partof,page,lc_translit
130,1,44,Билярскъ,,11.0,50.38671,54.98358,пригородъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=16,"БИЛЯРСКЪ, пригородъ Казанскаго Намѣстничества. Каждую недѣлю въ одинъ назначенной день бываетъ здѣсь базаръ, куда съѣзжаются жители всѣхъ около лежащихъ мѣстъ; привозятъ на торжище всѣ свои домашнія рукодѣлія, коими они избыточествуютъ. Для купцовъ, на торгъ сей пріѣзжающихъ, сдѣлано нѣсколько деревянныхъ лавокъ, въ которыхъ продаютъ они все нужное для земледѣльцевъ.",Билярск,Bilyarsk,Билярск,Tatarstan,Russia,576342,RU,http://api.geonames.org/search?north=59.790833&west=45.114444&south=51.790833&name=%D0%91%D0%B8%D0%BB%D1%8F%D1%80%D1%81%D0%BA&username=jaguillette&east=53.114444&featureClass=P&type=json,geonames_jsons/Билярск_44.json,geonames,Казанскаго Намѣстничества,Казанского Наместничества,казанск,11.0,not_in_text,not_иn_text,нот_ин_теxт,,17,"Biliarsk"""
131,1,45,Биржа,,60.0,25.77221,56.4063,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=16,"БИРЖА, мѣстечко Полотскаго Намѣстничества въ Динабургскомъ уѣздѣ. Въ семъ мѣстѣ бываетъ въ году одна ярмарка; торгуютъ Рижскаго дворца крестьяне разными мѣлочными товарами , виномъ и пивомъ.",Биржа,Birži,Биржа,Jēkabpils Rajons,Latvia,460941,LV,http://api.geonames.org/search?north=59.483333&west=24.8&south=51.483333&name=%D0%91%D0%B8%D1%80%D0%B6%D0%B0&username=jaguillette&east=32.8&featureClass=P&type=json,geonames_jsons/Биржа_45.json,geonames,Полотскаго Намѣстничества,Полотского Наместничества,полотск,24.0,Динабургскомъ уѣздѣ,Динабургском уезде,динабургск,60.0,17,Birzha
134,1,47,Бобровица,,77.0,31.3948,50.74693,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=17,"БОБРОВИЦА , мѣстечко Кіевскаго Намѣстничества и уѣзду. Въ ономъ мѣстечкѣ бываетъ въ году двѣ ярмарки.",Бобровица,Bobrovytsya,Бобровица,Chernihiv,Ukraine,711999,UA,http://api.geonames.org/search?north=51.49413&west=29.72503&south=49.08008&name=%D0%91%D0%BE%D0%B1%D1%80%D0%BE%D0%B2%D0%B8%D1%86%D0%B0&username=jaguillette&east=34.35625&featureClass=P&type=json,geonames_jsons/Бобровица_47.json,geonames,Кіевскаго Намѣстничества,Киевского Наместничества,киевск,13.0,Кіевскаго уѣздѣ,Киевского уезде,киевск,77.0,18,Bobrovitsa
135,1,48,Бобровское,,23.0,64.16392,57.50211,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=17,"БОБРОВСКОЕ, село Пермскаго Намѣстничества въ Краснослободскомъ дистриктѣ. Здѣсь бываетъ въ день перво-верховныхъ Апостоловъ Петра к Павла и два дни послѣ онаго ярмарка, которая особливо славна лошадиною торговлею. Построено также двадцать деревянныхъ лавокъ для купцовъ, пріѣзжающихъ на сію ярмарку, гдѣ они складывая свои товары , торгъ производятъ.",Бобровское,Bobrovskoye,Бобровское,Sverdlovsk,Russia,1509926,RU,http://api.geonames.org/search?north=61.8&west=50.56&south=55.22&name=%D0%91%D0%BE%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5&username=jaguillette&east=65.27&featureClass=P&type=json,geonames_jsons/Бобровское_48.json,geonames,Пермскаго Намѣстничества,Пермского Наместничества,пермск,23.0,not_in_text,not_иn_text,нот_ин_теxт,,18,Bobrovskoe
143,1,53,Богодуховъ,,37.0,35.52765,50.16466,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=18,"БОГОДУХОВЪ, городъ Харьковскаго Намѣстничества. Въ ономъ бываетъ въ году шесть ярмарокъ: первая на Сырной недѣлѣ , вторая въ постъ на похвальной недѣлѣ, третія на Вознесеніе , четвертая Іюля 20, пятая Августа 29, шестая Ноября Купцы пріѣзжаютъ на оныя изъ разныхъ Россійскихъ городовъ; привозятъ шелковые товары , парчи , позументы золотые и серебро въ дѣлѣ ; торгуютъ также скотомъ, лошадьми и прочимъ.",Богодухов,Bohodukhiv,Богодухов,Kharkiv,Ukraine,711894,UA,http://api.geonames.org/search?north=51.5689&west=33.5563&south=48.4869&name=%D0%91%D0%BE%D0%B3%D0%BE%D0%B4%D1%83%D1%85%D0%BE%D0%B2&username=jaguillette&east=38.2875&featureClass=P&type=json,geonames_jsons/Богодухов_53.json,geonames,Харьковскаго Намѣстничества,Харьковского Наместничества,харьковск,37.0,not_in_text,not_иn_text,нот_ин_теxт,,19,"Bogodukhov"""
144,1,54,Богородицкъ,,35.0,38.12408,53.77166,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=18,"БОГОРОДИЦКЪ, городъ Тульскаго Намѣстничества. Въ семъ городѣ бываетъ ярмарка Іюля 7 и 8 дня, на которую изъ городовъ Тулы , Епифани, Кропивны , Дѣдилова, Ефремова и Донкова привозятъ мѣлочные красные товары , а оныхъ городовъ изъ уѣздовъ крестьяне колесы и лыки.",Богородицк,Bogoroditsk,Богородицк,Tula,Russia,575591,RU,http://api.geonames.org/search?north=55.0867&west=35.5421&south=52.8329&name=%D0%91%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%86%D0%BA&username=jaguillette&east=39.6827&featureClass=P&type=json,geonames_jsons/Богородицк_54.json,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,35.0,not_in_text,not_иn_text,нот_ин_теxт,,19,"Bogoroditsk"""
145,1,55,Богородицкъ,,41.0,38.12408,53.77166,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=18,"БОГОРОДИЦКЪ , село того же Намѣстничества въ Алексинскомъ уѣздѣ. Въ ономъ бываетъ ярмарка Іюля 8 Октября 22; торгуютъ купцы нужными для крестьянства товарами.",Богородицк,Bogoroditsk,Богородицк,Tula,Russia,575591,RU,http://api.geonames.org/search?north=55.0867&west=35.5421&south=52.8329&name=%D0%91%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%86%D0%BA&username=jaguillette&east=39.6827&featureClass=P&type=json,geonames_jsons/Богородицк_55.json,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,35.0,Алексинскомъ уѣздѣ,Алексинском уезде,алексинск,41.0,19,"Bogoroditsk"""
148,1,57,Богородскъ,,1.0,38.45,55.85,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=18,"БОГОРОДСКЪ, городъ Московской Губерніи. Въ немъ бываетъ двѣ въ году ярмарки: первая Маія 9, вторая Декабря 6, на которыя той округи крестьяне привозятъ разные съѣстные припасы, а купцы мѣлочные товары.",Богородск,Bogorodsk,Богородск,Moskovskaya,Russia,575561,RU,http://api.geonames.org/search?north=56.981&west=34.3446&south=54.2132&name=%D0%91%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA&username=jaguillette&east=40.3419&featureClass=P&type=json,geonames_jsons/Богородск_57.json,geonames,Московской Губерніи,Московской Губернии,московск,1.0,not_in_text,not_иn_text,нот_ин_теxт,,19,"Bogorodsk"""
153,1,62,Борзна,,38.0,32.4269,51.25464,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=19,"БОРЗНА , городъ Черниговскаго Намѣстничества. Въ ономъ городѣ бываетъ въ году три ярмарки.",Борзна,Borzna,Борзна,Chernihiv,Ukraine,711536,UA,http://api.geonames.org/search?north=55.5&west=27.3&south=47.5&name=%D0%91%D0%BE%D1%80%D0%B7%D0%BD%D0%B0&username=jaguillette&east=35.3&featureClass=P&type=json,geonames_jsons/Борзна_62.json,geonames,Черниговскаго Намѣстничества,Черниговского Наместничества,черниговск,38.0,not_in_text,not_иn_text,нот_ин_теxт,,20,Borzna
181,1,65,Борисоглѣбскъ,,32.0,42.08494,51.36713,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=19,"БОРИСОГЛѢБСКЪ , городъ Тамбовскаго Намѣстничества. Въ немъ бываетъ одна въ году Іюля 8 дня ярмарка, на коей торгуютъ три дни пріѣзжающіе изъ ближнихъ городовъ купцы большею частію мѣлочными товарами.",Борисоглебск,Borisoglebsk,Борисоглебск,Voronezj,Russia,572525,RU,http://api.geonames.org/search?north=56.716667&west=37.433333&south=48.716667&name=%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B3%D0%BB%D0%B5%D0%B1%D1%81%D0%BA&username=jaguillette&east=45.433333&featureClass=P&type=json,geonames_jsons/Борисоглебск_65.json,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,32.0,not_in_text,not_иn_text,нот_ин_теxт,,20,"Borisoglebsk"""
183,1,66,Борисоглѣбской,,106.0,39.1508,57.2586,монастырь,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=19,"БОРИСОГЛѢБСКОЙ, монастырь Ярославскаго Намѣстничества въ Петровскомъ уѣздѣ. При немъ Маія 2 числа бываетъ годовая ярмарка , на которой пріѣзжіе изъ разныхъ окольныхъ городовъ купцы торгуютъ суровскими товарами.",Борисоглебской,Borisoglebskiy,Борисоглебской,Jaroslavl,Russia,572520,RU,http://api.geonames.org/search?north=61.616667&west=35.85&south=53.616667&name=%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B3%D0%BB%D0%B5%D0%B1%D1%81%D0%BA%D0%B8%D0%B9&username=jaguillette&east=43.85&featureClass=P&type=json,geonames_jsons/Борисоглебской_66.json,geonames,Ярославскаго Намѣстничества,Ярославского Наместничества,ярославск,39.0,Петровскомъ уѣздѣ,Петровском уезде,петровск,106.0,20,Borisoglebskoi
184,1,67,Борисполь,,105.0,30.95501,50.35269,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=19,"БОРИСПОЛЬ, мѣстечко Кіевскаго Намѣстничества въ Переяславскомъ уѣздѣ. Въ немъбываютъ въ году три ярмарки, на коихъ пріѣзжіе изъ окольныхъ тамошнихъ мѣстъ торгуютъ разнымъ хлѣбомъ, мѣлочнымъ товаромъ, рыбою, солью, скотомъ и проч.",Борисполь,Boryspil,Борисполь,Kiev,Ukraine,711660,UA,http://api.geonames.org/search?north=51.49413&west=29.72503&south=49.08008&name=%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BF%D0%BE%D0%BB%D1%8C&username=jaguillette&east=34.35625&featureClass=P&type=json,geonames_jsons/Борисполь_67.json,geonames,Кіевскаго Намѣстничества,Киевского Наместничества,киевск,13.0,Переяславскомъ уѣздѣ,Переяславском уезде,переяславск,105.0,20,Borispol'
185,1,68,Боровенки,,8.0,38.56367,49.04796,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=20,"БОРОВЕНКИ, мѣстечко Екатеринославскаго Намѣстничества. Въ немъ бываютъ въ году три ярмарки.",Боровенки,Boroven'ki,Боровенки,Luhansk,Ukraine,711613,UA,http://api.geonames.org/search?north=49.99&west=29.6&south=46.07&name=%D0%91%D0%BE%D1%80%D0%BE%D0%B2%D0%B5%D0%BD%D0%BA%D0%B8&username=jaguillette&east=39.14&featureClass=P&type=json,geonames_jsons/Боровенки_68.json,geonames,Екатеринославскаго Намѣстничества,Екатеринославского Наместничества,екатеринославск,8.0,not_in_text,not_иn_text,нот_ин_теxт,,21,Borovenki
191,1,70,Боровскъ,,12.0,36.48611,55.20639,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=20,"БОРОВСКЪ, городъ Калужскаго Намѣстничества. Бываютъ въ году здѣсь двѣ ярмарки : первая въ десятую пятницу послѣ Свѣтлаго Воскресенія, вторая въ день Рождества Богородицы 8 числа Сентября; на оныя пріѣзжаютъ купцы изъ Тулы, Калуги, Серпухова и прочихъ городовъ ; привозятъ . шелковые и прочіе товары, а по большей части крестьяне съѣзжаются съ холстами и прочими крестьянскими товарами.",Боровск,Borovsk,Боровск,Kaluga,Russia,572070,RU,http://api.geonames.org/search?north=55.374&west=33.3881&south=53.2604&name=%D0%91%D0%BE%D1%80%D0%BE%D0%B2%D1%81%D0%BA&username=jaguillette&east=37.3796&featureClass=P&type=json,geonames_jsons/Боровск_70.json,geonames,Калужскаго Намѣстничества,Калужского Наместничества,калужск,12.0,not_in_text,not_иn_text,нот_ин_теxт,,21,"Borovsk"""
193,1,72,Борятино,,79.0,35.55015,54.34461,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=20,"БОРЯТИНО, село Калужскаго Намѣстничества въ Козельскомъ уѣздѣ. Здѣсь бываетъ торгъ одинъ день въ недѣлѣ въ четверпюкъ; купечество изъ Калуги , Мещовска , Болхова , Бѣлева и другихъ городовъ привозятъ товары москотильные; но есть нѣсколько бумажныхъ, шелковыхъ и другихъ матерій; а по большей части и уѣздные крестьяне привозятъ разные уѣздные товары, всякой хлѣбѣ, пеньку , масло , медъ , воскъ, вощину, парусную уточную пря-жу , холстъ льняной , посконной разныя крестьянскія рукодѣлья и Другіе мѣлочные товары.",Борятино,Baryatino,Борятино,Kaluga,Russia,571933,RU,http://api.geonames.org/search?north=55.374&west=33.3881&south=53.2604&name=%D0%91%D0%BE%D1%80%D1%8F%D1%82%D0%B8%D0%BD%D0%BE&username=jaguillette&east=37.3796&featureClass=P&type=json,geonames_jsons/Борятино_72.json,geonames,Калужскаго Намѣстничества,Калужского Наместничества,калужск,12.0,Козельскомъ уѣздѣ,Козельском уезде,козельск,79.0,21,Boriatino
194,1,73,Бронницы,,1.0,38.26188,55.42112,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=21,"БРОННИЦЫ, городъ Московской Губерніи. Въ немъ, кромѣ еженедѣльныхъ по понедѣльникамъ и пятницамъ торговъ, назначена Сентября 6 годовая ярмарка.",Бронницы,Bronnitsy,Бронницы,Moskovskaya,Russia,571557,RU,http://api.geonames.org/search?north=56.981&west=34.3446&south=54.2132&name=%D0%91%D1%80%D0%BE%D0%BD%D0%BD%D0%B8%D1%86%D1%8B&username=jaguillette&east=40.3419&featureClass=P&type=json,geonames_jsons/Бронницы_73.json,geonames,Московской Губерніи,Московской Губернии,московск,1.0,not_in_text,not_иn_text,нот_ин_теxт,,22,Bronnitsy
196,1,75,Брянскъ,,21.0,34.37167,53.25209,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=21,"БРЯНСКЪ , городъ Орловскаго Намѣстничества. Въ семъ городѣ бываетъ въ году ярмарка въ Іюнѣ мѣсяцѣ въ десятую пятницу по Пасхѣ; да близъ города Свинская, начинающаяся съ Сентября, и продолжающаяся по Октябрь.",Брянск,Bryansk,Брянск,Brjansk,Russia,571476,RU,http://api.geonames.org/search?north=54.0138&west=32.7557&south=51.8511&name=%D0%91%D1%80%D1%8F%D0%BD%D1%81%D0%BA&username=jaguillette&east=39.224&featureClass=P&type=json,geonames_jsons/Брянск_75.json,geonames,Орловскаго Намѣстничества,Орловского Наместничества,орловск,21.0,not_in_text,not_иn_text,нот_ин_теxт,,22,"Briansk"""
