,ru_old_orth,alt_name_old_orth,ru_old_featuretype,ru_prov,ru_uezd,description,page,SOURCE,html_text,ru_new_orth,alt_name_new_orth,prov_modern_sp,uezd_modern_sp,prov_stem,uezd_stem,admin_hierarchy,admin1_partofID,admin2_partofID,partof_id,txt_id
13,Анаево,,село,Тамбовскаго Намѣстничества,,"АНАЕВО, село Тамбовскаго Намѣстничества около посада Кадома; здѣсь одна бываетъ ярмарка въ году, на которую пріѣзжаютъ купцы изъ ближнихъ городовъсъ шелковыми , бумажными и другими мѣдочными товарами.",11,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АНАЕВО, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тамбовскаго Намѣстничества около посада Кадома; здѣсь одна бываетъ ярмарка въ году, на которую пріѣзжаютъ купцы изъ ближнихъ городовъ</span><p><span class=""font0"">съ шелковыми , бумажными и другими мѣдочными товарами.</span></p>",Анаево,,Тамбовского Наместничества,,тамбовск,not_in_text,тамбовск|not_in_text,32,,32,13
14,Андреевка,,слобода,Харьковскаго Намѣстничества,Изюмскомъ уѣздѣ,"АНДРЕЕВКА, слобода Харьковскаго Намѣстничества въ Изюмскомъ уѣздѣ ; въ оной бываетъ въ году двѣ ярмарки : первая Іюля 20, въ день Пророка Иліи, вторая Октября 26, въ день Великомученика Димитрія. Купцы на оныя пріѣзжаютъ изъ разныхъ Росссійскихъ городовъ съ шелковыми , бумажными , гарусными и прочими товарами.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНДРЕЕВКА, </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Харьковскаго Намѣстничества въ Изюмскомъ уѣздѣ ; въ оной бываетъ въ году двѣ ярмарки : первая Іюля 20, въ день Пророка Иліи, вторая Октября </span><span class=""font0"" style=""font-style:italic;"">26, </span><span class=""font0"">въ день Великомученика Димитрія. Купцы на оныя пріѣзжаютъ изъ разныхъ Росссійскихъ городовъ съ шелковыми , бумажными , гарусными и прочими товарами.</span>",Андреевка,,Харьковского Наместничества,Изюмском уезде,харьковск,изюмск,харьковск|изюмск,37,107.0,107.0,14
15,Антоновка,,мѣстечко,Могилевскаго Намѣстничества,Рогачевскомъ уѣздѣ,"АНТОНОВКА, мѣстечко Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АНТОНОВКА, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко </span><span class=""font0"">Могилевскаго Намѣстничества въ Рогачевскомъ уѣздѣ; здѣсь бываетъ въ году три ярмарки.</span>",Антоновка,,Могилевского Наместничества,Рогачевском уезде,могилевск,рогачевск,могилевск|рогачевск,16,141.0,141.0,15
16,Апичерская,,пустыня,Синбирскаго Намѣстничества,Алатырьскомъ уѣздѣ,"АПИЧЕРСКАЯ, пустыня Синбирскаго Намѣстничества въ Алатырьскомъ уѣздѣ; здѣсь бываетъ ярмарка въ день Каванскія Богородицы. На сію ярмарку пріѣзжаютъ со всякими шелковыми и прочими товарами изъ Москвы и изъ другихъ городовъ купцы, такожь и крестьяне.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АПИЧЕРСКАЯ, </span><span class=""font0"" style=""font-style:italic;"">пустыня </span><span class=""font0"">Синбирскаго Намѣстничества въ Алатырьскомъ уѣздѣ; здѣсь бываетъ ярмарка въ день Каванскія Богородицы. На сію ярмарку пріѣзжаютъ со всякими шелковыми и прочими товарами изъ Москвы и изъ другихъ городовъ купцы, такожь и крестьяне.</span>",Апичерская,,Синбирского Наместничества,Алатырьском уезде,синбирск,алатырьск,синбирск|алатырьск,30,81.0,81.0,16
17,Аргамачья,,слобода,Орловскаго Намѣстничества,Елецкомъ уѣздѣ,"АРГАМАЧЬЯ , слобода Орловскаго Намѣстничества въ Елецкомъ уѣздѣ. Здѣсь бываетъ ярмарка Сентября 8 дня, на которой торгуютъ Елецкіе и другихъ городовъ купцы съ уѣздными обывателями всякими разными мѣлочными товарами и дегтемъ; а обыватели продаютъ купцамъ и своей братьи лошадей, скотину, холстъ, съѣстные всякіе припасы и рукодѣлія.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРГАМАЧЬЯ , </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Орловскаго Намѣстничества въ Елецкомъ уѣздѣ. Здѣсь бываетъ ярмарка Сентября 8 дня, на которой торгуютъ Елецкіе и другихъ городовъ купцы съ уѣздными обывателями всякими разными мѣлочными товарами и дегтемъ; а обыватели продаютъ купцамъ и своей братьи лошадей, скотину, холстъ, съѣстные всякіе припасы и рукодѣлія.</span>",Аргамачья,,Орловского Наместничества,Елецком уезде,орловск,елецк,орловск|елецк,21,183.0,183.0,17
18,Арзамасъ,,городъ,Нижегородскаго Намѣстничества,,"АРЗАМАСЪ, городъ Нижегородскаго Намѣстничества. Здѣсь обыкновенно бываетъ торговыхъ въ недѣлѣ два Дни.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРЗАМАСЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Нижегородскаго Намѣстничества. Здѣсь обыкновенно бываетъ торговыхъ въ недѣлѣ два Дни.</span>",Арзамас,,Нижегородского Наместничества,,нижегородск,арзамаск,нижегородск|арзамаск,17,83.0,83.0,18
19,Артемоновка,,слобода,Харьковскаго Намѣстничества,Харьковскаго уѣздѣ,"АРТЕМОНОВКА , слобода Харьковскаго Намѣстничества и уѣзду; здѣсь бываютъ ярмарки Іюля 8 и Ноября 21, Торгуютъ купцы мѣлочными товарами , пивомъ, медомъ и прочимъ.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРТЕМОНОВКА , </span><span class=""font0"" style=""font-style:italic;"">слобода </span><span class=""font0"">Харьковскаго Намѣстничества и уѣзду; здѣсь бываютъ ярмарки Іюля 8 и Ноября 21, Торгуютъ купцы мѣлочными товарами , пивомъ, медомъ и прочимъ.</span>",Артемоновка,,Харьковского Наместничества,Харьковского уезде,харьковск,харьковск,харьковск|харьковск,37,78.0,78.0,19
20,Архангельскъ,,главный городъ,Архангельскъ Намѣстничества,,"АРХАНГЕЛЬСКЪ, главный городъ Намѣстничества сего имени. Въ немъ бываетъ каждой годъ ярмарка , которая начинается въ Маіѣ мѣсяцѣ съ приходомъ изъ Россіи барокъ, а изъ за моря кораблей; прямая же, или валовая начинается всегда въ Іюнѣ, а оканчивается въ первыхъ числахъ Октября ; на ней бываетъ торговля между иностранными и Россійскими купцами Россійскими и иностранными товарами , продолжающаяся во время мореплаванія, на которую ярмарку иностранные купцы всякіе иностранные товары чрезъ море на корабляхъ изъ чужихъ краевъ къ Архангельскому порту привозятъ; а Россійскіе въ тѣ мѣста отпускаютъ всякіе привозимые чрезъ верховые города водою и сухимъ путемъ Россійскіе, Китайскіе, Персидскіе, Турецкіе и прочіе Азіатскіе и другіе иностранные товары для народнаго употребленія, а не въ отвозъ въ чужіе край, а именно же: привозимыя вина Французскія, Португальскія, Гишпанскія и Нѣмецкія лучшія и ординарныя, ромъ, уксусъ, водка венгерская, еликсиръ , винной, камень , сукна Голландскія , Аглинскія , Гамбурскія, Шлезскія и прочія лучшія и ординарныя, лоскутья и покроми суконныя , стамеды , штофы и прочія тому подобныя шерстяныя матеріи ; штофы и прочія шелковыя и полушелковыя парчи и ленты , выбойки , полотна Голландскія, олово въ блюдахъ и торѣлкахъ и прочихъ мѣдочахъ , прутовое и въ слиткахъ , свинецъ, желѣзо листовое , иглы , ножи , вилки , ножницы и прочіе желѣзные товары; квасцы, ртуть, сѣра горючая , шелакъ, шпіатеръ, масло деревянное, винныя ягоды , изюмъ , коринка , смоквы, черносливъ, ядры мигдальныя , кофе , чай , перецъ , орѣшки чернильныя , сандалъ, сахаръ, лимоны, померанцы и прочіе фрукты свѣжіе и въ винѣ; гвоздика, корица и прочія пряныя зелья ; канфара, ладонъ росной и простой, изъ гумми разныхъ сортовъ; посуда стеклянная, цѣнинная и каменая , стеклы окончинныя и бутылки , сыры , патока черная, пшено сорочинское , свѣтильня бумажная, бобры, выдры, лисицы; краски , консель брусковая, киноварь, оринакъ; чулки шелковые и шерстяные , также и прочіе отпускные , какъ - то: хлѣбъ , сѣмя льняное, сало говяжье и ворванная смола, юфть, желѣзо полосное и гвозди желѣзные , пенька, ленѣ , рогожии кульки рогожные ; щетина , канаты и веревки пеньковыя и пакальныя , пряжа канатная, воскъ, гривы конскія , кости , кожи моржевыя , мыло ; мягкая рухлядь , куницы , горнаcтаи , россомахи , бѣлки , песцы, зайчины , мѣхи бѣльи и заячьи , кожи медвежьи, кошечьи и волчьи; полотна гладкія и салфеточныя широкія и узкія и брань уѣздной работы, Фламскія парусныя и равендукъ холстъ , хрящъ, посуда деревянная, свѣчи сальныя, языки говяжьи копченые, губа лиственная , клей Сибирской, кожи подошевныя и ворванныя, сукна сермяжныя и чирковыя туфли, чаи жуланъ и простой, бадьянъ, масло коровье льняное и конопляное, медъ сырецъ, рога оленьи , мясо говяжье соленое , семга соленая , пряники медовые.",12,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРХАНГЕЛЬСКЪ, </span><span class=""font0"" style=""font-style:italic;"">главный городъ</span><span class=""font0""> Намѣстничества сего имени. Въ немъ бываетъ каждой годъ ярмарка , которая начинается въ Маіѣ мѣсяцѣ съ приходомъ изъ Россіи барокъ, а изъ за моря кораблей; прямая же, или валовая начинается всегда въ Іюнѣ, а оканчивается въ первыхъ числахъ Октября ; на ней бываетъ торговля между</span><p><span class=""font0""> иностранными и Россійскими купцами Россійскими и иностранными товарами , продолжающаяся во время мореплаванія, на которую ярмарку иностранные купцы всякіе иностранные товары чрезъ море на корабляхъ изъ чужихъ краевъ къ Архангельскому порту привозятъ; а Россійскіе въ тѣ мѣста отпускаютъ всякіе привозимые чрезъ верховые города водою и сухимъ путемъ Россійскіе, Китайскіе, Персидскіе, Турецкіе и прочіе Азіатскіе и другіе иностранные товары для народнаго употребленія, а не въ отвозъ въ чужіе край, а именно же: привозимыя вина Французскія, Португальскія, Гишпанскія и Нѣмецкія лучшія и ординарныя, ромъ, уксусъ, водка венгерская, еликсиръ , винной, камень , сукна Голландскія , Аглинскія , Гамбурскія, Шлезскія и прочія лучшія и ординарныя, лоскутья и покроми суконныя , стамеды , штофы и прочія тому подобныя шерстяныя матеріи ; штофы и прочія шелковыя и полушелковыя парчи и ленты , выбойки , полотна Голландскія, олово въ блюдахъ и торѣлкахъ и прочихъ мѣдочахъ , прутовое и въ слиткахъ , свинецъ, желѣзо листовое , иглы , ножи , вилки , ножницы и прочіе желѣзные товары; квасцы, ртуть, сѣра горючая , шелакъ, шпіатеръ, масло деревянное, винныя ягоды , изюмъ , коринка , смоквы, черносливъ, ядры мигдальныя , кофе , чай , перецъ , орѣшки чернильныя , сандалъ, сахаръ, лимоны, померанцы и прочіе фрукты свѣжіе и въ винѣ; гвоздика, корица и прочія пряныя зелья ; канфара, ладонъ росной и простой, изъ гумми разныхъ сортовъ; посуда стеклянная, цѣнинная и каменая , стеклы окончинныя и бутылки , сыры , патока черная, пшено сорочинское , свѣтильня бумажная, бобры, выдры, лисицы; краски , консель брусковая, киноварь, оринакъ; чулки шелковые и шерстяные , также и прочіе отпускные , какъ - то: хлѣбъ , сѣмя льняное, сало говяжье и ворванная смола, юфть, желѣзо полосное и гвозди желѣзные , пенька, ленѣ , рогожи</span></p><p><span class=""font0"">и кульки рогожные ; щетина , канаты и веревки пеньковыя и пакальныя , пряжа канатная, воскъ, гривы конскія , кости , кожи моржевыя , мыло ; мягкая рухлядь , куницы , горнаcтаи , россомахи , бѣлки , песцы, зайчины , мѣхи бѣльи и заячьи </span><span class=""font0"" style=""font-style:italic;"">, </span><span class=""font0"">кожи медвежьи, кошечьи и волчьи; полотна гладкія и салфеточныя широкія и узкія и брань уѣздной работы, Фламскія парусныя и равендукъ холстъ , хрящъ, посуда деревянная, свѣчи сальныя, языки говяжьи копченые, губа лиственная , клей Сибирской, кожи подошевныя и ворванныя, сукна сермяжныя и чирковыя туфли, чаи жуланъ и простой, бадьянъ, масло коровье льняное и конопляное, медъ сырецъ, рога оленьи , мясо говяжье соленое , семга соленая , пряники медовые.</span></p>",Архангельск,,Архангельск Наместничества,,архангельск,not_in_text,архангельск|not_in_text,2,,2,20
21,Архангельское,Змѣевка,село,Рязанскаго Намѣстничества,Донковскомъ уѣздѣ,"АРХАНГЕЛЬСКОЕ, ЗМѢЕВКА тожь, село Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ ; въ ономъ бываютъ въ году двѣ ярмарки: первая Февраля 2 въ день Срѣтенія Господня , внорая Ноября 8, въ день Архистратига Михаила. Сюда пріѣзжаютъ купцы съ разными мѣлочными. товарами.",14,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АРХАНГЕЛЬСКОЕ, ЗМѢЕВКА тожь, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Рязанскаго Намѣстничества въ Донковскомъ уѣздѣ ; въ ономъ бываютъ въ году двѣ ярмарки: первая Февраля 2 въ день Срѣтенія Господня , внорая Ноября 8, въ день Архистратига Михаила. Сюда пріѣзжаютъ купцы съ разными мѣлочными. товарами.</span>",Архангельское,Змеевка,Рязанского Наместничества,Донковском уезде,рязанск,донковск,рязанск|донковск,28,101.0,101.0,21
22,Асаково,,село,Тульскаго Намѣстничества,Веневскомъ уѣздѣ,"АСАКОВО , село Тульскаго Намѣстничества въ Веневскомъ уѣздѣ ; здѣсь бываетъ годовая ярмарка Іюля 8 числа; пріѣзжаютъ на оную разныхъ городовъ купцы съ товарами.",14,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АСАКОВО , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тульскаго Намѣстничества въ Веневскомъ уѣздѣ </span><span class=""font0"" style=""font-style:italic;"">;</span><span class=""font0""> здѣсь бываетъ годовая ярмарка Іюля 8 числа; пріѣзжаютъ на оную разныхъ городовъ купцы съ товарами.</span>",Асаково,,Тульского Наместничества,Веневском уезде,тульск,веневск,тульск|веневск,35,93.0,93.0,22
23,Астрахань,,городъ,Кавказскаго Намѣстничества,,"АСТРАХАНЬ , городъ Кавказскаго Намѣстничества. Въ семъ городѣ бываетъ ярмарка каждолѣтно; Россійскіе купцы, Армяне и Татары торгуютъ съ Персіанами, Армянами, Индѣйцами и прочими, разными Европейскими и Азіатскими товарами.",14,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АСТРАХАНЬ , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Кавказскаго Намѣстничества. Въ семъ городѣ бываетъ ярмарка каждолѣтно; Россійскіе купцы, Армяне и Татары торгуютъ съ Персіанами, Армянами, Индѣйцами и прочими, разными Европейскими и Азіатскими товарами.</span>",Астрахань,,Кавказского Наместничества,,кавказск,астраханск,кавказск|астраханск,10,51.0,51.0,23
24,Атемаръ,,село,Пензенскаго Намѣстничества,Саранскомъ уѣздѣ,"АТЕМАРЪ, село Пензенскаго Намѣстничества въ Саранскомъ уѣздѣ. Здѣсь бываетъ ярмарка въ послѣднихъ числахъ Іюля мѣсяца; привозятъ купцы разные мѣлочные шелковые товары.",14,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АТЕМАРЪ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Пензенскаго Намѣстничества въ Саранскомъ уѣздѣ. Здѣсь бываетъ ярмарка въ послѣднихъ числахъ Іюля мѣсяца; привозятъ купцы разные мѣлочные шелковые товары.</span>",Атемар,,Пензенского Наместничества,Саранском уезде,пензенск,саранск,пензенск|саранск,22,144.0,144.0,24
25,Аткарскъ,,городъ,Саратовскаго Намѣстничества,,"АТКАРСКЪ, городъ Саратовскаго Намѣстничества; здѣсь въ городѣ бываетъ еженедѣльной торгъ, а въ округъ онаго въ нѣкоторымъ селеніяхъ на рѣчкѣ Терсѣ и Болондѣ торжки,гдѣ производятся продажи , также какъ и въ другихъ сей Губерніи мѣстахъ.",14,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АТКАРСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Саратовскаго Намѣстничества; здѣсь въ городѣ бываетъ еженедѣльной торгъ, а въ округъ онаго въ нѣкоторымъ селеніяхъ на рѣчкѣ </span><span class=""font0"" style=""font-style:italic;"">Терсѣ </span><span class=""font0"">и</span><span class=""font0"" style=""font-style:italic;""> Болондѣ</span><span class=""font0""> торжки,</span><p><span class=""font0"">гдѣ производятся продажи , также какъ и въ другихъ сей Губерніи мѣстахъ.</span></p>",Аткарск,,Саратовского Наместничества,,саратовск,аткарск,саратовск|аткарск,29,159.0,159.0,25
26,Ахтырка,,городъ,Харьковскаго Намѣстничества,,"АХТЫРКА , городъ Харьковскаго Намѣстничества; въ немъ бываетъ четыре ярмарки: первая о всеѣдной недѣлѣ, вторая Маія 9, третія Іюля четвертая Октября 28 дня; купцы пріѣзжаютъ изъ раз ныхъ городовъ, привозятъ парчи , шелковыя матеріи и серебро въ дѣлѣ; торгуютъ также скотомъ , лошадьми и прочимъ.",15,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"АХТЫРКА , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Харьковскаго Намѣстничества; въ немъ бываетъ четыре ярмарки: первая о всеѣдной недѣлѣ, вторая Маія 9, третія Іюля четвертая Октября 28 дня; купцы пріѣзжаютъ изъ раз ныхъ городовъ, привозятъ парчи , шелковыя матеріи и серебро въ дѣлѣ; торгуютъ также скотомъ , лошадьми и прочимъ.</span>",Ахтырка,,Харьковского Наместничества,,харьковск,ахтырск,харьковск|ахтырск,37,84.0,84.0,26
27,Баевка,,село,,,"БАЕВКА, село въ Сибири на вершинѣ рѣки Свіаги; въ ономъ всякое Воскресенье бываетъ торгъ.",15,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"БАЕВКА, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> въ Сибири на вершинѣ рѣки </span><span class=""font0"" style=""font-style:italic;"">Свіаги</span><span class=""font0"">; въ ономъ всякое Воскресенье бываетъ торгъ.</span>",Баевка,,,,not_in_text,not_in_text,not_in_text|not_in_text,,,,27
