,hgr_id,name,alt_name,partof_id,lng,lat,_type,source_url,text,name_modern_sp,result_placename,searched_placename,admin1,country_name,src_id,country_code,url,local_result,src,ru_prov,prov_modern_sp,prov_stem,admin1_partof,ru_uezd,uezd_modern_sp,uezd_stem,admin2_partof,page,lc_translit
10,7,Аксель,,126.0,43.83333,54.83333,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АКСЕЛЬ, село Тамбовскаго Намѣстничества въ Темниковскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка, сверхъ еженедѣльныхъ торговъ, въ одинадцатую пятницу по Пасхѣ; купцы сюда пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми и бумажными товарами, хлѣбомъ и прочими припасами.",Аксель,Aksel’skiye Vyselki,Аксель,Nizjnij Novgorod,Russia,583662,RU,http://api.geonames.org/search?north=56.716667&west=37.433333&south=48.716667&name=%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C&username=jaguillette&east=45.433333&featureClass=P&type=json,geonames_jsons/Аксель_7.json,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,32.0,Темниковскомъ уѣздѣ,Темниковском уезде,темниковск,126.0,10,Aksel'
11,8,Алатырь,,30.0,46.5813,54.8421,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АЛАТЫРЬ, городъ Синбирскаго Намѣстничества. Въ уѣздѣ сего города бываетъ годовыхъ семь ярмарокъ.",Алатырь,Alatyr',Алатырь,Chuvashia,Russia,583437,RU,http://api.geonames.org/search?north=58.316667&west=44.366667&south=50.316667&name=%D0%90%D0%BB%D0%B0%D1%82%D1%8B%D1%80%D1%8C&username=jaguillette&east=52.366667&featureClass=P&type=json,geonames_jsons/Алатырь_8.json,geonames,Синбирскаго Намѣстничества,Синбирского Наместничества,синбирск,30.0,not_in_text,not_иn_text,нот_ин_теxт,,10,Alatyr'
12,8,Алатырь,,30.0,47.54381,56.0395,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АЛАТЫРЬ, городъ Синбирскаго Намѣстничества. Въ уѣздѣ сего города бываетъ годовыхъ семь ярмарокъ.",Алатырь,Alatyr’kasy,Алатырь,Chuvashia,Russia,6198182,RU,http://api.geonames.org/search?north=58.316667&west=44.366667&south=50.316667&name=%D0%90%D0%BB%D0%B0%D1%82%D1%8B%D1%80%D1%8C&username=jaguillette&east=52.366667&featureClass=P&type=json,geonames_jsons/Алатырь_8.json,geonames,Синбирскаго Намѣстничества,Синбирского Наместничества,синбирск,30.0,not_in_text,not_иn_text,нот_ин_теxт,,10,Alatyr'
13,9,Александрова Пустыня,,136.0,not_found,not_found,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСАНДРОВА ПУСТЫНЯ, село Ярославскаго Намѣстничества и уѣзду. Здѣсь бываетъ годовая ярмарка въ Іюнѣ мѣсяцѣ ; съѣзжаются купцы съ разными товарами изъ ближнихъ городовъ, а именно: Ярославля, Ростова, Романова, Углича, Борисоглѣбска , Рыбнаго , Мологи и слободы Норской.",Александрова Пустыня,not_found,Александрова Пустыня,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=61.616667&west=35.85&south=53.616667&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B0+%D0%9F%D1%83%D1%81%D1%82%D1%8B%D0%BD%D1%8F&username=jaguillette&east=43.85&featureClass=P&type=json,None,geonames,Ярославскаго Намѣстничества,Ярославского Наместничества,ярославск,39.0,Ярославскаго уѣздѣ,Ярославского уезде,ярославск,136.0,11,Aleksandrova Pustynia
14,10,Александровское,Черкаское,74.0,not_found,not_found,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСАНДРОВСКОЕ, ЧЕРКАСКОЕ тожь, село Пензенскаго Намѣстничества въ Керенскомъ уѣздѣ. Здѣсь бываетъ въ году ярмарка въ Іюнѣ мѣсяцѣ ; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ разными мѣлочными товарами ; торгуютъ также лошадьми, рогатымъ скотомъ и прочимъ.",Александровское,not_found,Александровское,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=54.837&west=41.8373&south=52.3247&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5&username=jaguillette&east=46.7277&featureClass=P&type=json,None,geonames,Пензенскаго Намѣстничества,Пензенского Наместничества,пензенск,22.0,Керенскомъ уѣздѣ,Керенском уезде,керенск,74.0,11,Aleksandrovskoe
15,11,Алексинъ,,35.0,37.0674,54.50503,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСИНЪ, городъ Тульскаго Намѣстничества. Здѣсь бываютъ двѣ въ году ярмарки: первая Іюля 1, вторая Августа 29 дня. На оныя пріѣзжаютъ съ разными москотильными товарами.",Алексин,Aleksin,Алексин,Tula,Russia,582750,RU,http://api.geonames.org/search?north=55.0867&west=35.5421&south=52.8329&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B8%D0%BD&username=jaguillette&east=39.6827&featureClass=P&type=json,geonames_jsons/Алексин_11.json,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,35.0,not_in_text,not_иn_text,нот_ин_теxт,,11,"Aleksin"""
16,12,Алексѣевка,,5.0,41.99632,51.61006,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",Алексеевка,Alekseyevka,Алексеевка,Voronezj,Russia,582949,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Алексеевка_12.json,geonames,Воронежскомъ Намѣстничества,Воронежском Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Alekseevka
17,12,Алексѣевка,,5.0,39.0319,52.3795,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",Алексеевка,Alekseyevka,Алексеевка,Lipetsk,Russia,7452204,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Алексеевка_12.json,geonames,Воронежскомъ Намѣстничества,Воронежском Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Alekseevka
18,12,Алексѣевка,,5.0,38.6903,50.6309,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",Алексеевка,Alekseyevka,Алексеевка,Belgorod,Russia,582956,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Алексеевка_12.json,geonames,Воронежскомъ Намѣстничества,Воронежском Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Alekseevka
19,12,Алексѣевка,,5.0,39.17942,49.01808,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",Алексеевка,Alekseyevka,Алексеевка,Luhansk,Ukraine,713554,UA,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Алексеевка_12.json,geonames,Воронежскомъ Намѣстничества,Воронежском Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Alekseevka
20,12,Алексѣевка,,5.0,38.0555,51.6878,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",Алексеевка,Alekseyevka,Алексеевка,Kursk,Russia,582948,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Алексеевка_12.json,geonames,Воронежскомъ Намѣстничества,Воронежском Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Alekseevka
21,12,Алексѣевка,,5.0,37.235,52.76435,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",Алексеевка,Alekseyevka,Алексеевка,Orjol,Russia,582910,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Алексеевка_12.json,geonames,Воронежскомъ Намѣстничества,Воронежском Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Alekseevka
22,12,Алексѣевка,,5.0,38.24198,52.68578,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",Алексеевка,Alekseyevka,Алексеевка,Lipetsk,Russia,582914,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Алексеевка_12.json,geonames,Воронежскомъ Намѣстничества,Воронежском Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Alekseevka
23,12,Алексѣевка,,5.0,37.37487,52.63586,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",Алексеевка,Alekseyevka,Алексеевка,Orjol,Russia,582917,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Алексеевка_12.json,geonames,Воронежскомъ Намѣстничества,Воронежском Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Alekseevka
24,12,Алексѣевка,,5.0,41.96794,52.56934,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",Алексеевка,Alekseyevka,Алексеевка,Tambov,Russia,582920,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Алексеевка_12.json,geonames,Воронежскомъ Намѣстничества,Воронежском Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Alekseevka
25,12,Алексѣевка,,5.0,40.8121,52.4263,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",Алексеевка,Alekseyevka,Алексеевка,Tambov,Russia,582923,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Алексеевка_12.json,geonames,Воронежскомъ Намѣстничества,Воронежском Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Alekseevka
26,12,Алексѣевка,,5.0,42.47175,52.41183,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",Алексеевка,Alekseyevka,Алексеевка,Tambov,Russia,582924,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Алексеевка_12.json,geonames,Воронежскомъ Намѣстничества,Воронежском Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Alekseevka
27,12,Алексѣевка,,5.0,38.7774,52.3839,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСѢЕВКА, слобода Графа Шереметева, въ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ въ годъ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія въ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикъ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе съ разными товарами.",Алексеевка,Alekseyevka,Алексеевка,Lipetsk,Russia,582925,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BA%D0%B0&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Алексеевка_12.json,geonames,Воронежскомъ Намѣстничества,Воронежском Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,11,Alekseevka
