uniq_id,ru_old_orth,alt_name,partof_id,x_coord,y_coord,ru_featuretype,SOURCE,description,ru_new_orth,lc_trans,pres_loc,pres_country,country_code,beg_yr,end_yr,lc_featuretype,id_featuretype,en_featuretype,xy_type,partof_prov,partof_uezd,partof_prov_name,partof_uezd_name,geonameId,uezd_adj
11,Казанское,,11,49.114444,55.790833,Намѣстничество,,,Казанское,Kazanskoe,"Kazan, Tatarstan",Russia,RU,,,,,,POINT,11,11.0,Казанское Намѣстничество,Казанский уезд,http://www.geonames.org/551487,
12,Калужское,,12,36.266667,54.533333,Намѣстничество,,,Калужское,Kaluzhskoe,"Kaluga, Kaluga Oblast",Russia,RU,,,,,,POINT,12,12.0,Калужское Намѣстничество,Калужский уезд,http://www.geonames.org/553915,
13,Кіевское,,13,30.523333,50.45,Намѣстничество,,,Киевское,Kievskoe,"Kiev, Kyiv city",Ukraine,UA,,,,,,POINT,13,13.0,Кіевское Намѣстничество,Кіевский уезд,http://www.geonames.org/703448,
14,Кострома,,14,40.933333000000005,57.766667000000005,главный городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=59,"КОСТРОМА , главный городъ Намѣстничества сего имени. Здѣсь бываютъ повсягодно въ девятую и въ десятую недѣли по Пасхѣ ярмарки, и въ каждой недѣлѣ торговыхъ два дни, въ середу и пятокъ; пріѣзжаетъ на оныя по боль-шей части крестьянство ; привозятъ изъ окрестныхъ мѣстъ холстъ , пряжу , хлѣбъ и прочіе крестьянскіе товары.",Кострома,Kostroma,"Kostroma, Kostroma Oblast",Russia,RU,,,,,,POINT,14,14.0,Костромское Намѣстничество,Костромский уезд,http://www.geonames.org/543878,
15,Курское,,15,36.183333000000005,51.716667,Намѣстничество,,,Курское,Kurskoe,"Kursk, Kursk Oblast",Russia,RU,,,,,,POINT,15,15.0,Курское Намѣстничество,Курский уезд,http://www.geonames.org/487574,
16,Могилевское,,16,30.35,53.916667000000004,Намѣстничество,,,Могилевское,Mogilevskoe,"Mahilyow, Mogilev Province",Belarus,BY,,,,,,POINT,16,16.0,Могилевское Намѣстничество,Могилевский уезд,http://www.geonames.org/625665,
17,Нижегородское,,17,44.00205,56.328669999999995,Намѣстничество,,,Нижегородское,Nizhegorodskoe,"Nizhny Novgorod, Nizhny Novgorod Oblast",Russia,RU,,,,,,POINT,17,17.0,Нижегородское Намѣстничество,Нижегородский уезд,http://www.geonames.org/520555,
18,Новогородское,,18,31.271040000000003,58.52131,Намѣстничество,,,Новогородский,Novogorodskii,"Veliky Novgorod, Novgorod Oblast",Russia,RU,,,,,,POINT,18,18.0,Новогородское Намѣстничество,Новогородский уезд,http://www.geonames.org/519336,
19,Новогород - Сѣверское,,19,33.266667,51.983333,Намѣстничество,,,Новогород - Северское,Novogorod - Severskoe,"Novhorod-Sivers'kyi, Chernihivs'ka oblast",Ukraine,UA,,,,,,POINT,19,19.0,Новогород - Сѣверское Намѣстничество,Новогород - Сѣверский уезд,http://www.geonames.org/8220802,
20,Олонецкое,,20,34.35,61.783333,Намѣстничество,,,Олонецкое,Olonetskoe,"Petrozavodsk, Republic of Karelia",Russia,RU,,,,,,POINT,20,20.0,Олонецкое Намѣстничество,Олонецкий уезд,http://www.geonames.org/509820,
21,Орловское,,21,36.066666999999995,52.966667,Намѣстничество,,,Орловское,Orlovskoe,"Oryol, Oryol Oblast",Russia,RU,,,,,,POINT,21,21.0,Орловское Намѣстничество,Орловский уезд,http://www.geonames.org/515012,
22,Пензенское,,22,45.0,53.2,Намѣстничество,,,Пензенское,Penzenskoe,"Penza, Penza Oblast",Russia,RU,,,,,,POINT,22,22.0,Пензенское Намѣстничество,Пензенский уезд,http://www.geonames.org/511565,
23,Пермское,,23,56.248889,58.013889,Намѣстничество,,,Пермское,Permskoe,"Perm, Perm Krai",Russia,RU,,,,,,POINT,23,23.0,Пермское Намѣстничество,Пермский уезд,http://www.geonames.org/511196,
24,Полотскъ,,24,28.7856,55.4879,главный городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=89,"ПОЛОТСКЪ, главный городъ Намѣстничества сего имени. Въ немъ бываютъ въ году четыре ярмарки : первая на Богоявленіе , вторая въ первую недѣлю великаго поста, третія въ пятокъ передъ Петровымъ днемъ, четвертая въ недѣлю передъ Рождествомъ Христовымъ. На оныхъ торгуютъльномъ, пенькою, лѣсами, хлѣбомъ, медомъ, воскомъ, поташемъ и скотомъ.",Полотск,"Polotsk""","Polatsk, Vitebsk Region",Belarus,BY,,,,,,POINT,24,24.0,Полотское Намѣстничество,Полотский уезд,http://www.geonames.org/623317,
25,Псковское,,25,28.333333000000003,57.816667,Намѣстничество,,,Псковское,Pskovskoe,"Pskov, Pskov Oblast",Russia,RU,,,,,,POINT,25,25.0,Псковское Намѣстничество,Псковский уезд,http://www.geonames.org/560920,
26,Ревельское,,26,24.745278,59.437222,Намѣстничество,,,Ревельское,Revel'skoe,"Tallinn, Harju County",Estonia,EE,,,,,,POINT,26,26.0,Ревельское Намѣстничество,Ревельский уезд,http://www.geonames.org/798564,
27,Рижское,,27,24.106944,56.9475,Намѣстничество,,,Рижское,Rizhskoe,"Rīga, Rīgas pilsēta",Latvia,LV,,,,,,POINT,27,27.0,Рижское Намѣстничество,Рижский уезд,http://www.geonames.org/456172,
28,Рязанское,,28,39.716667,54.61666700000001,Намѣстничество,,,Рязанское,Riazanskoe,"Ryazan, Ryazan Oblast",Russia,RU,,,,,,POINT,28,28.0,Рязанское Намѣстничество,Рязанский уезд,http://www.geonames.org/500096,
29,Саратовъ,,29,46.0,51.533333,главный городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=102,"САРАТОВЪ, главный городъ Намѣстничества сего имени. Въ немъ бываетъ ярмарка Іюля 8 числа отъ съѣзду крестьянъ изъ ближнихъ селеній для продажи и покупки имъ нужныхъ вещей , болѣежь съѣзжаются Калмыки для продажи Калмыцкихъ лошадей , кои продаютъ они рублей по 16 и больше, которыя высоки бываютъ ростомъ, и ходятъ иноходью; ошъ Россіанъ же Калмыки покупаютъ между прочимъ хлѣбъ, а болѣе сукна и шелковыя матеріи для одѣваніи своихъ женъ.",Саратов,"Saratov""","Saratov, Saratov Oblast",Russia,RU,,,,,,POINT,29,29.0,Саратовское Намѣстничество,Саратовский уезд,http://www.geonames.org/498677,
30,Синбирскъ,,30,48.366667,54.316667,главный городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=105,"СИНБИРСКЪ, съ 1782 году главный городъ Намѣстничества сего имени. Въ немъ, кромѣ повседневныхъ особливыхъ торговъ, бываетъ Іюля съ 5 по 8 число годовая ярмарка.",Синбирск,"Sinbirsk""","Ulyanovsk, Ulyanovsk Oblast",Russia,RU,,,,,,POINT,30,30.0,Синбирское Намѣстничество,Синбирский уезд,http://www.geonames.org/545421,
31,Смоленскъ,,31,32.045278,54.782778,главный городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=106,"СМОЛЕНСКЪ, съ 1775 год главный городъ Намѣстничества сего имени. Въ ономъ ярмарокъ нѣтъ, а пріѣзжаютъ въ торговые дни въ среду и пя-токъ изъ уѣздовъ разныхъ Помѣщиковъ крестьяне съ раз-нымъ хлѣбомъ , пенькою, медомъ ; а въ Воскресенье хотя и бываетъ крестьянство съ такимижь товарами, токмо малое число.",Смоленск,"Smolensk""","Smolensk, Smolensk Oblast",Russia,RU,,,,,,POINT,31,31.0,Смоленское Намѣстничество,Смоленский уезд,http://www.geonames.org/505425,
32,Тамбовъ,,32,41.433333000000005,52.716667,главный городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=112,"ТАМБОВЪ, съ 1779 году главный городъ Намѣстничества сего имени. Здѣсь бываютъ въ годъ два съѣзда, сверхъ обыкновенныхъ торговъ: первой въ Іюнѣ мѣсяцѣ о десятой пятницѣ; второй для богомолія Казанской Богородицѣ 8 Іюля, и сіи торги продолжаются дни по два.",Тамбов,"Tambov""","Tambov, Tambov Oblast",Russia,RU,,,,,,POINT,32,32.0,Тамбовское Намѣстничество,Тамбовский уезд,http://www.geonames.org/484646,
33,Тверь,,33,35.921928,56.857828000000005,главный городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=112,"ТВЕРЬ, съ 1775 году главный городъ Намѣстничества сего имени. Здѣсь торги бываютъ дважды во вторникъ и въ четвертокъ; а въ Тверскомъ уѣздѣ въ Микульскомъ стану, въ отчинѣ Князя Мещерскаго , въ селѣ Лотошинѣ, въ недѣлѣ по единожды по воскреснымъ днямъ, и привозятъ разныхъуѣздовъ и деревень крестьяне въ оные торговые дни товары домовые своей работы, пеньку, хлѣбъ, масло и прочіе мѣлочные.",Тверь,Tver',"Tver, Tver Oblast",Russia,RU,,,,,,POINT,33,33.0,Тверское Намѣстничество,Тверский уезд,http://www.geonames.org/480060,
34,Тобольскъ,,34,68.25805600000001,58.195278,главный городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=114,"ТОБОЛЬСКЪ, съ 1782 году главный городъ Намѣстничества сего имени. Купцы Россійскіе, въ Сибири и на Китайскую границу торгующіе, Тобольска не минуютъ. Зимою съ обѣихъ сторонъ есть проѣздъ непрестанной ; весною отправляютъ по рѣкамъ на судахъ въ Енисейскъ и до Иркутска, а осенью оттуда водянымъ же путемъ пріѣзжаютъ. И такъ бываетъ въ Тобольскѣ дважды въ годъ ярмарка: весною Россійскимъ, а осенью Сибирскимъ и Китайскимъ товарамъ. Купцы пріѣздъ еще имѣютъ съ товарами изъ Ирбитской ярмарки, и торгъ содержатъ Марта съ 20 Маія по 25 число, въ томъ числѣ пріѣзжаютъ и Греки.",Тобольск,"Tobol'sk""","Tobolsk, Tyumen Oblast",Russia,RU,,,,,,POINT,34,34.0,Тобольское Намѣстничество,Тобольский уезд,http://www.geonames.org/1489530,
35,Тула,,35,37.61822,54.196090000000005,главный городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=116,"ТУЛА, съ 1777 году главный городъ Намѣстничества сего имени. Здѣсь ярмарка бываетъ въ году два раза: I) при церкви Покрова Пресвятыя Богородицы , въ десятую отъ Святой недѣли пятницу; вторая Іюня 8 дня, при состоящемъ за городовымъ замкомъ Казанскомъ Соборѣ. Для складки привозимыхъ товаровъ имѣются подъ Тульскимъ Магистратомъ въ нижнемъ департаментѣ, также и особь построенныя палатки. СЪ товарами на ярмарки постороннаго съѣзда не бываетъ, а отправляются только тамошними. Въ недѣлѣ два торга, въ понедѣльникъ и четвертокъ.",Тула,Tula,"Tula, Tula Oblast",Russia,RU,,,,,,POINT,35,35.0,Тульское Намѣстничество,Тульский уезд,http://www.geonames.org/480562,
36,Уфимское,,36,55.966667,54.733332999999995,Намѣстничество,,,Уфимское,Ufimskoe,"Ufa, Bashkortostan",Russia,RU,,,,,,POINT,36,36.0,Уфимское Намѣстничество,Уфимский уезд,http://www.geonames.org/479561,
37,Харьковское,,37,36.229167,50.0,Намѣстничество,,,Харьковское,Khar'kovskoe,"Kharkiv, Kharkiv Oblast",Ukraine,UA,,,,,,POINT,37,37.0,Харьковское Намѣстничество,Харьковский уезд,http://www.geonames.org/6722153,
38,Черниговское,,38,31.3,51.5,Намѣстничество,,,Черниговское,Chernigovskoe,"Chernihiv, Chernihivs'ka oblast",Ukraine,UA,,,,,,POINT,38,38.0,Черниговское Намѣстничество,Черниговский уезд,http://www.geonames.org/710735,
39,Ярославское,,39,39.85,57.61666700000001,Намѣстничество,,,Ярославское,Iaroslavskoe,"Yaroslavl, Yaroslavl Oblast",Russia,RU,,,,,,POINT,39,39.0,Ярославское Намѣстничество,Ярославский уезд,http://www.geonames.org/513487,
40,Алатырь,,30,46.5813,54.8421,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=9,"АЛАТЫРЬ, городъ Синбирскаго Намѣстничества. Въ уѣздѣ сего города бываетъ годовыхъ семь ярмарокъ.",Алатырь,Alatyr',"Alatyr', Chuvashia Republic",Russia,RU,,,,,,POINT,30,40.0,Синбирское Намѣстничество,Алатырьский уезд,http://www.geonames.org/583437,
41,Алексинъ,,35,37.0674,54.505030000000005,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=10,"АЛЕКСИНЪ, городъ Тульскаго Намѣстничества. Здѣсь бываютъ двѣ въ году ярмарки: первая Іюля 1, вторая Августа 29 дня. На оныя пріѣзжаютъ съ разными москотильными товарами.",Алексина,Aleksina,"Aleksin, Tula Oblast",Russia,RU,,,,,,POINT,35,41.0,Тульское Намѣстничество,Алексина уезд,http://www.geonames.org/582750,
42,Арзамасъ,,17,43.83992,55.39485,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРЗАМАСЪ, городъ Нижегородскаго Намѣстничества. Здѣсь обыкновенно бываетъ торговыхъ въ недѣлѣ два Дни.",Арзамас,Arzamas,"Arzamas, Nizhny Novgorod Oblast",Russia,RU,,,,,,POINT,17,42.0,Нижегородское Намѣстничество,Арзамаский уезд,http://www.geonames.org/580724,
43,Ахтырка,,37,34.898790000000005,50.310359999999996,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=14,"АХТЫРКА , городъ Харьковскаго Намѣстничества; въ немъ бываетъ четыре ярмарки: первая о всеѣдной недѣлѣ, вторая Маія 9, третія Іюля четвертая Октября 28 дня; купцы пріѣзжаютъ изъ раз ныхъ городовъ, привозятъ парчи , шелковыя матеріи и серебро въ дѣлѣ; торгуютъ также скотомъ , лошадьми и прочимъ.",Ахтырка,Akhtyrka,"Okhtyrka, Sums'ka oblast",Ukraine,UA,,,,,,POINT,37,43.0,Харьковское Намѣстничество,Ахтырка городъ,http://www.geonames.org/713749,
44,Бабиновецкий,,16,30.5725,54.8351,уезд,,,Бабиновецкий,Babinovetskii,"Babinavichy, Vitebsk Region",Belarus,BY,,,,,,POINT,16,44.0,Могилевское Намѣстничество,Бабиновецкий уезд,http://www.geonames.org/630474,
45,Бѣжецкъ,,33,36.696509999999996,57.785059999999994,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=22,"БѢЖЕЦКЪ, городъ Тверскаго Намѣстиичества. Въ немъ бываетъ ярмарка , начинающаяся Іюня сь 30, и продолжающаяся до 5 Іюля; пріѣзжаютъ купцы изъ смѣжныхъ городовъ; привозятъ товары шелковые и прочіе москотильные мѣлочные и желѣзные. Здѣсь же бываютъ въ понедельникъ и четвертокъ торжки. Въ уѣздѣ онаго находятся ярмаркижь въ селахъ у Спаса на Холму Кесовѣ горѣ, Молодовѣ и Порѣчьѣ, въ которыхъ и еженедѣльные торги бываютъ, на Холму во вторникъ, въ Молодовѣ въ среду , а въ Кесовѣ и Порѣчьѣ въ пятницу. Въ селахъ же Поводневѣ и Шипинѣ годовыя ярмарки бываютъ на 14 число Сентября; а въ селѣ Кесовѣ горѣ на 24 число Іюня , на которыя отъ уѣздныхъ обывателей привозится всякой хлѣбъ и прочіе сырейные и съѣстные товары; а изъ прочихъ городовъ отъ обывателей уѣздныхъ мѣлочные товары, кромѣ что въ Кесову гору никуда не ѣздятъ.",Бежецк,Bezhetsk,"Bezhetsk, Tver Oblast",Russia,RU,,,,,,POINT,33,45.0,Тверское Намѣстничество,Бѣжецкъ городъ,http://www.geonames.org/576566,
46,Бѣлевский,,35,36.13194,53.81194,уезд,,,Белевский,Belevskii,"Belyov, Tula Oblast",Russia,RU,,,,,,POINT,35,46.0,Тульское Намѣстничество,Бѣлевский уезд,http://www.geonames.org/578091,
47,Бѣлицкий,,16,30.4122,52.9395,уезд,,,Белицкий,Belitskii,"Белицк, Homiel Province",Belarus,BY,,,,,,POINT,16,47.0,Могилевское Намѣстничество,Бѣлицкий уезд,http://www.geonames.org/630295,
48,Бѣлгородъ,,15,36.58015,50.61074,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=22,"БѢЛГОРОДЪ, городъ Курскаго Намѣстничества. Въ ономъ бываютъ три годовыя ярмарки: первая послѣ Святой недѣли въ десятую пятницу, вторая въ день Апостоловъ Петра и Павла, третія въ день Успвія Богородицы; да въ уѣздѣ онаго города бываютъ годовые торги въ Помѣщичьихъ слободахъ въ Петровской Мацвева, въ Троицкой Матюшкина, въ Сабыниной Брылкиной, въ Шебе-киной Графа Генрикова, въ Алексѣевкѣ , Корчіюкъ тожь, економической , въ Зимовѣйкѣ и Бѣлей Князя Трубецкаго, въ Ефремовкѣ Герсевановой, въ Козмодемьянской Камышина, въ Михайловкѣ , Бекорюковка тожь , Бекорюкова, въ Вознесенской , Ивановка тожь , Бакшеева. Купцы на оные торги пріѣзжаютъ изъ близъ лежащихъ городовъ съ мѣлочными лавочными товарами.",Белгород,Belgorod,"Belgorod, Belgorod Oblast",Russia,RU,,,,,,POINT,15,48.0,Курское Намѣстничество,Бѣлогородский уезд,http://www.geonames.org/578072,
49,Бѣлозерскъ,,18,37.8084,60.0288,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=23,"БѢЛОЗЕРСКЪ, городъ Новогородскаго Намѣстничества. Въ немъ въ зимнее время бываютъ каждую недѣлю по понедѣльникамъ съѣзды , на которыхъ торгуетъ крестьянство разными ихъ домовными издѣльями , также привозятъ мя сѣно и хлѣбъ.",Белозерск,Belozersk,"Belozersk, Vologda Oblast",Russia,RU,,,,,,POINT,18,49.0,Новогородское Намѣстничество,Бѣлозерскъ городъ,http://www.geonames.org/577711,
50,Валуйки,,5,38.1067,50.2035,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=24,"ВАЛУЙКИ, городъ Воронежскаго Намѣстничества. Въ ономъ бываетъ въ году ярмарка, называемая Петровская; да въ уѣзДѣ въ слободахъ бываютъ ярмарки , въ Уразовой семь , въ Николаевкѣ четыре , въ Погромцѣ пять , въ Венделевкѣ три , въ Бѣлокуриной двѣ, въ Деркулѣ три.",Валуеский,Valueskii,"Valuyki, Belgorod Oblast",Russia,RU,,,,,,POINT,5,50.0,Воронежское Намѣстничество,Валуеский уезд,http://www.geonames.org/477192,
51,Великолуцкий,,25,30.545170000000002,56.34,уезд,,,Великолуцкий,Velikolutskii,"Velikiye Luki, Pskov Oblast",Russia,RU,,,,,,POINT,25,51.0,Псковское Намѣстничество,Великолуцкий уезд,http://www.geonames.org/476077,
52,Веневъ,,35,38.26843,54.35533,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=25,"ВЕНЕВЪ, городъ Тульскаго Намѣстничества. Въ семъ городѣ бываетъ годовая ярмарка въ десятую пятницу по Пасхѣ; торгуютъ иногородные купцы разными товарами.",Венев,Venev,"Venyov, Tula Oblast",Russia,RU,,,,,,POINT,35,52.0,Тульское Намѣстничество,Веневский уезд,http://www.geonames.org/475881,
53,Верея,,1,36.17194,55.344719999999995,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=26,"ВЕРЕЯ, городъ Московской Губерніи и Провинціи. Въ ономъ бываетъ въ году одна ярмарка Іюня 23 дня въ день Владимерскія Богоматери, и продолжается три дни ; на оную пріѣзжаютъ купцы изъ Москвы , Тулы , Калуги, Серпухова , Можайска , Боровска и прочихъ ближнихъ городовъ; привозятъ шелковые, бумажные, москотильные и прочіе товары небольшимъ числомъ , а по большей части съѣзжаются крестьяне съ льнянымъ и хрящевымъ холетомъ, колесами, лыками и съ другимъ мѣлочнымъ товаромъ.",Верея,Vereia,"Vereya, Moscow Oblast",Russia,RU,,,,,,POINT,1,53.0,Московская Губернія,Верейский уезд,http://www.geonames.org/475701,
54,Верхній Удинскъ,,9,107.6,51.833333,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=42,"ЕНИСЕЙСКЪ, городъ Тобольскаго Намѣстничества. Въ ономъ бываетъ однажды въ годъ ярмарка въ началѣ Августа мѣсяца. Встрѣчаются здѣсь купцы на водяномъ пути изъ Тобольска и изъ Иркутска, изъ которыхъ иные промѣнявъ товары , тѣмъ же путемъ назадъ возвращаются, а иные намѣренной свой водяной путь далѣе производятъ.",Верхний Удинск,Verkhnii Udinsk,"Ulan-Ude, Buryatia",Russia,RU,,,,,,POINT,9,54.0,Иркутское Намѣстничество,Верхнеудивский уезд,http://www.geonames.org/2014407,
