,wkt_geom,OBJECTID_1,Post,Category,Group,Placename,REGION,SHEET,UnitID,Status,Uz_name,Prov_name,XCOORD,YCOORD,Unnamed: 14,text,ru_uezd,_type,page,name,alt_name,ru_prov,source_url,html_text,name_modern_sp,prov_modern_sp,uezd_modern_sp,prov_stem,uezd_stem,admin_hierarchy,partof_id,admin1_partof,admin2_partof,lc_translit,translit_prov_stem,settle_prov_stem
149,POINT(36.92409537077877957 55.6669276648964555),6535,0,selo or sloboda,rural,Troitskoe,8,Atlas 021,184,Regular,Zvenigorod (Voskresensk),Moskovskaia,36.924095,55.666928000000006,,"ТРОИЦКОЕ, село Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ немъ бываетъ ярмарка о Троицынѣ дни.",Звенигородскомъ уѣздѣ,село,116,Троицкое,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=115,"ТРОИЦКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ немъ бываетъ ярмарка о Троицынѣ дни.</span>",Троицкое,Московской Губернии,Звенигородском уезде,московск,звенигородск,московск|звенигородск,67.0,1.0,67.0,Troitskoe,moskovsk,moskovsk
150,POINT(36.91744139581713569 56.01215511684120685),6704,0,selo or sloboda,rural,Troitskoe,8,Atlas 021,184,Regular,Zvenigorod (Voskresensk),Moskovskaia,36.917441,56.01215500000001,,"ТРОИЦКОЕ, село Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ немъ бываетъ ярмарка о Троицынѣ дни.",Звенигородскомъ уѣздѣ,село,116,Троицкое,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=115,"ТРОИЦКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ немъ бываетъ ярмарка о Троицынѣ дни.</span>",Троицкое,Московской Губернии,Звенигородском уезде,московск,звенигородск,московск|звенигородск,67.0,1.0,67.0,Troitskoe,moskovsk,moskovsk
151,POINT(36.73320910983412801 56.22683770343828513),6732,0,selo or sloboda,rural,Troitskoe,12,Atlas 021,188,Regular,Klin,Moskovskaia,36.733209,56.226838,,"ТРОИЦКОЕ, село Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ немъ бываетъ ярмарка о Троицынѣ дни.",Звенигородскомъ уѣздѣ,село,116,Троицкое,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=115,"ТРОИЦКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ немъ бываетъ ярмарка о Троицынѣ дни.</span>",Троицкое,Московской Губернии,Звенигородском уезде,московск,звенигородск,московск|звенигородск,67.0,1.0,67.0,Troitskoe,moskovsk,moskovsk
181,POINT(37.45064658202830543 53.76968478179593802),11839,0,selo or sloboda,rural,Il'inskoe,6,Atlas 031,421,Regular,Krapivna,Tul'skaia,37.450647,53.769684999999996,,"ИЛЬИНСКОЕ, село Тульскаго Намѣстничества въ Каширскомъ уѣздѣ. Здѣсь бываютъ торжки каждонедѣльно въ пятничные дни ; товары на оные привозятъ изъ уѣзда холсты льняные разные, да изъ городовъ Ярославля, Переславля Залѣснаго и Углича пріѣзжаютъ купцы съ мѣлочными всякими небогатыми товарами.",Каширскомъ уѣздѣ,село,49,Ильинское,,Тульскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=48,"ИЛЬИНСКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тульскаго Намѣстничества въ Каширскомъ уѣздѣ. Здѣсь бываютъ торжки каждонедѣльно въ пятничные дни ; товары на оные привозятъ изъ уѣзда холсты льняные разные, да изъ городовъ Ярославля, Переславля Залѣснаго и Углича пріѣзжаютъ купцы съ мѣлочными всякими небогатыми товарами.</span>",Ильинское,Тульского Наместничества,Каширском уезде,тульск,каширск,тульск|каширск,73.0,35.0,73.0,Il'inskoe,tul'sk,tul'sk
203,POINT(36.9751709302907372 53.66849819974247993),11950,0,selo or sloboda,rural,Rozhestvenskoe,6,Atlas 031,421,Regular,Krapivna,Tul'skaia,36.975171,53.668498,,"РОЖЕСТВЕНСКОЕ, село Тульскаго Намѣстничества въ уѣздѣ города Ефремова. Здѣсь бываетъ одна годовая ярмарка 21 Сентября ; на оную съѣзжаются купцы изъ окрестныхъ городовъ съ разными товарами, и то по большей части съ мѣлочными , а крестьяне съ своими рукодѣліями.",Ефремова,село,96,Рожественское,,Тульскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=95,"РОЖЕСТВЕНСКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село </span><span class=""font0"">Тульскаго Намѣстничества въ уѣздѣ города Ефремова. Здѣсь бываетъ одна годовая ярмарка 21 Сентября ; на оную съѣзжаются купцы изъ окрестныхъ городовъ съ разными товарами, и то по большей части съ мѣлочными , а крестьяне съ своими рукодѣліями.</span>",Рожественское,Тульского Наместничества,Ефремова,тульск,ефремов,тульск|ефремов,276.0,35.0,276.0,Rozhestvenskoe,tul'sk,tul'sk
226,POINT(37.04904180997836249 55.78507330863984492),6639,0,selo or sloboda,rural,Ivanovskoe,8,Atlas 021,184,Regular,Zvenigorod (Voskresensk),Moskovskaia,37.049042,55.785073,,"ИВАНОВСКОЕ, село Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ семъ селѣ бываетъ ярмарка каждогодно Іюля 8 дня.",Звенигородскомъ уѣздѣ,село,48,Ивановское,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=47,"ИВАНОВСКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ семъ селѣ бываетъ ярмарка каждогодно Іюля 8 дня.</span>",Ивановское,Московской Губернии,Звенигородском уезде,московск,звенигородск,московск|звенигородск,67.0,1.0,67.0,Ivanovskoe,moskovsk,moskovsk
229,POINT(35.4510960615673909 56.20426138024772911),6690,0,selo or sloboda,rural,Ivanovskoe,11,Atlas 021,187,Regular,Volokolamsk,Moskovskaia,35.451096,56.204260999999995,,"ИВАНОВСКОЕ, село Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ семъ селѣ бываетъ ярмарка каждогодно Іюля 8 дня.",Звенигородскомъ уѣздѣ,село,48,Ивановское,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=47,"ИВАНОВСКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ семъ селѣ бываетъ ярмарка каждогодно Іюля 8 дня.</span>",Ивановское,Московской Губернии,Звенигородском уезде,московск,звенигородск,московск|звенигородск,67.0,1.0,67.0,Ivanovskoe,moskovsk,moskovsk
307,POINT(31.46346045332836283 49.31817756859752677),7192,1,minor town (mestechko),urban,Gorodishche,2,Atlas 016,282,Regular,Cherkasy,Kievskaia,31.46346,49.318178,,"ГОРОДИЩЕ , мѣстечко Кіевскаго Намѣстничества въ Лубенскомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки : первая Генваря 1, вторая Маія 2, третія Августа 1 дня.",Лубенскомъ уѣздѣ,мѣстечко,35,Городище,,Кіевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=34,"ГОРОДИЩЕ , </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Кіевскаго Намѣстничества въ Лубенскомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки : первая Генваря 1, вторая Маія 2, третія Августа 1 дня.</span>",Городище,Киевского Наместничества,Лубенском уезде,киевск,лубенск,киевск|лубенск,88.0,13.0,88.0,Gorodishche,kievsk,kievsk
308,POINT(31.46346045332836283 49.31817756859752677),7192,1,minor town (mestechko),urban,Gorodishche,2,Atlas 016,282,Regular,Cherkasy,Kievskaia,31.46346,49.318178,,"ГОРОДИЩЕ, мѣстечко того же Намѣстничества въ Миргородскомъ уѣздѣ. Въ ономъ бываетъ въ году четыре ярмарки : первая Маія 6, вторая Августа 1 , третія Октября 1 , четвертая Декабря 6; торгуютъ на оныхъ пріѣзжіе изъ уѣздовъ жители разными мѣлочными товарами, тамъ родящимися и дѣлающимися, какъто хлѣбомъ, горячимъ виномъ, разнымъ скотомъ, дегтемъ, овчинами, кожами и прочимъ; иногда пріѣзжаютъ и Великороссійскіе купцы съ красными товарами. Здѣсь бываютъ и еженедѣльные торги.",Миргородскомъ уѣздѣ,мѣстечко,35,Городище,,Кіевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=34,"ГОРОДИЩЕ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> того же Намѣстничества въ Миргородскомъ уѣздѣ. Въ ономъ бываетъ въ году четыре ярмарки : первая Маія 6, вторая Августа 1 , третія Октября 1 , четвертая Декабря 6; торгуютъ на оныхъ пріѣзжіе изъ уѣздовъ жители разными мѣлочными товарами, тамъ родящимися и дѣлающимися, какъто хлѣбомъ, горячимъ виномъ, разнымъ скотомъ, дегтемъ, овчинами, кожами и прочимъ; иногда пріѣзжаютъ и Великороссійскіе купцы съ красными товарами. Здѣсь бываютъ и еженедѣльные торги.</span>",Городище,Киевского Наместничества,Миргородском уезде,киевск,миргородск,киевск|миргородск,91.0,13.0,91.0,Gorodishche,kievsk,kievsk
309,POINT(29.1531695871962242 49.99130054488391295),7092,0,selo or sloboda,rural,Gorodishche,10,Atlas 016,290,Regular,Skvira,Kievskaia,29.15317,49.991301,,"ГОРОДИЩЕ , мѣстечко Кіевскаго Намѣстничества въ Лубенскомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки : первая Генваря 1, вторая Маія 2, третія Августа 1 дня.",Лубенскомъ уѣздѣ,мѣстечко,35,Городище,,Кіевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=34,"ГОРОДИЩЕ , </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Кіевскаго Намѣстничества въ Лубенскомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки : первая Генваря 1, вторая Маія 2, третія Августа 1 дня.</span>",Городище,Киевского Наместничества,Лубенском уезде,киевск,лубенск,киевск|лубенск,88.0,13.0,88.0,Gorodishche,kievsk,kievsk
310,POINT(29.1531695871962242 49.99130054488391295),7092,0,selo or sloboda,rural,Gorodishche,10,Atlas 016,290,Regular,Skvira,Kievskaia,29.15317,49.991301,,"ГОРОДИЩЕ, мѣстечко того же Намѣстничества въ Миргородскомъ уѣздѣ. Въ ономъ бываетъ въ году четыре ярмарки : первая Маія 6, вторая Августа 1 , третія Октября 1 , четвертая Декабря 6; торгуютъ на оныхъ пріѣзжіе изъ уѣздовъ жители разными мѣлочными товарами, тамъ родящимися и дѣлающимися, какъто хлѣбомъ, горячимъ виномъ, разнымъ скотомъ, дегтемъ, овчинами, кожами и прочимъ; иногда пріѣзжаютъ и Великороссійскіе купцы съ красными товарами. Здѣсь бываютъ и еженедѣльные торги.",Миргородскомъ уѣздѣ,мѣстечко,35,Городище,,Кіевскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=34,"ГОРОДИЩЕ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> того же Намѣстничества въ Миргородскомъ уѣздѣ. Въ ономъ бываетъ въ году четыре ярмарки : первая Маія 6, вторая Августа 1 , третія Октября 1 , четвертая Декабря 6; торгуютъ на оныхъ пріѣзжіе изъ уѣздовъ жители разными мѣлочными товарами, тамъ родящимися и дѣлающимися, какъто хлѣбомъ, горячимъ виномъ, разнымъ скотомъ, дегтемъ, овчинами, кожами и прочимъ; иногда пріѣзжаютъ и Великороссійскіе купцы съ красными товарами. Здѣсь бываютъ и еженедѣльные торги.</span>",Городище,Киевского Наместничества,Миргородском уезде,киевск,миргородск,киевск|миргородск,91.0,13.0,91.0,Gorodishche,kievsk,kievsk
358,POINT(40.45341170871492409 57.76117509479964696),3963,0,selo or sloboda,rural,Spaskoe,8,Atlas 032,447,Regular,Danilov,Iaroslavskaia,40.453412,57.761175,,"СПАСКОЕ, село Ярославскаго Намѣстничества въ Пошехонскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка въ день Преображенія, и продолжается два дни.",Пошехонскомъ уѣздѣ,село,109,Спаское,,Ярославскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=108,"СПАСКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Ярославскаго Намѣстничества въ Пошехонскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка въ день Преображенія, и продолжается два дни.</span>",Спаское,Ярославского Наместничества,Пошехонском уезде,ярославск,пошехонск,ярославск|пошехонск,110.0,39.0,110.0,Spaskoe,iaroslavsk,iaroslavsk
399,POINT(39.20569406773646648 57.36204616274631718),3996,0,selo or sloboda,rural,Semenovskoe,1,Atlas 032,440,Regular,Rostov,Iaroslavskaia,39.205694,57.362046,,"СЕМЕНОВСКОЕ , село Ярославскаго Намѣстничества въ Пошехонскомъ уѣздѣ. Здѣсь 6ы-ваетъ годовая ярмарка въ десятую пятницу послѣ Пасхи, и продолжается три дни.",Пошехонскомъ уѣздѣ,село,105,Семеновское,,Ярославскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=104,"СЕМЕНОВСКОЕ , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Ярославскаго Намѣстничества въ Пошехонскомъ уѣздѣ. Здѣс</span><span class=""font0"" style=""font-style:italic;"">ь</span><span class=""font0""> 6ы-ваетъ годовая ярмарка въ десятую пятницу послѣ Пасхи, и продолжается три дни.</span>",Семеновское,Ярославского Наместничества,Пошехонском уезде,ярославск,пошехонск,ярославск|пошехонск,110.0,39.0,110.0,Semenovskoe,iaroslavsk,iaroslavsk
405,POINT(50.49203096231903487 54.89278453982362294),213,0,minor town (mestechko),urban,Biliarsk,12,Atlas 041,61,Regular,Chistopol'e,Kazanskaia,50.492031,54.892784999999996,,"БИЛЯРСКЪ, пригородъ Казанскаго Намѣстничества. Каждую недѣлю въ одинъ назначенной день бываетъ здѣсь базаръ, куда съѣзжаются жители всѣхъ около лежащихъ мѣстъ; привозятъ на торжище всѣ свои домашнія рукодѣлія, коими они избыточествуютъ. Для купцовъ, на торгъ сей пріѣзжающихъ, сдѣлано нѣсколько деревянныхъ лавокъ, въ которыхъ продаютъ они все нужное для земледѣльцевъ.",not_in_text,пригородъ,17,Билярскъ,,Казанскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=16,"БИЛЯРСКЪ, </span><span class=""font0"" style=""font-style:italic;"">пригородъ</span><span class=""font0""> Казанскаго Намѣстничества. Каждую недѣлю въ одинъ назначенной день бываетъ здѣсь базаръ, куда съѣзжаются жители всѣхъ около лежащихъ мѣстъ; привозятъ на торжище всѣ свои домашнія рукодѣлія, коими они избыточествуютъ. Для купцовъ, на торгъ сей пріѣзжающихъ, сдѣлано нѣсколько деревянныхъ лавокъ, въ которыхъ продаютъ они все нужное для земледѣльцевъ.</span>",Билярск,Казанского Наместничества,not_иn_text,казанск,нот_ин_теxт,казанск,11.0,11.0,,Biliarsk,kazansk,kazansk
