,lat_x,hgr_id,name,alt_name,partof_id,lng,lat_y,_type,source_url,text,name_modern_sp,lc_translit,pres_loc,country,country_code,result_placename,searched_placename,admin1,country_name,src_id,url,src,ru_prov,prov_modern_sp,prov_stem,ru_uezd,page
1203,1,413,Махоново,,32.0,39.7671,52.90838,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=71,"МАХОНОВО , село Тамбовскаго Намѣстничества около городка Добраго. Здѣсь бываетъ въ году ярмарка 29 Августа ; на оную пріѣзжаютъ купцы съ мѣлочными товарами.",Махоново,Makhonovo,"Makhonovo, Lipetsk Oblast",Russia,RU,Makhonovo,Махоново,Lipetsk,Russia,532067,http://api.geonames.org/search?type=json&username=jaguillette&east=45.433333&name=%D0%9C%D0%B0%D1%85%D0%BE%D0%BD%D0%BE%D0%B2%D0%BE&north=56.716667&south=48.716667&west=37.433333&featureClass=P,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,not_in_text,72
1206,1,416,Маяки,,69.0,37.62433,48.946,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=71,"МАЯКИ, село Харьковскаго Намѣстничества въ уѣздѣ города Изюма. Въ ономъ бываютъ двѣ ярмарки: первая Генваря 1, въ день Василія Великаго, вторая Октября 1, въ день Покрова Богородицы. Купцы пріѣзжаютъ на оныя изъ разныхъ Россійскихъ городовъ съ шелковыми, бумажными, шерстяными и прочими товарами.",Маяки,Maiaki,"Mayaky, Donetsk Oblast",Ukraine,UA,Mayaki,Маяки,Donetsk,Ukraine,701559,http://api.geonames.org/search?type=json&username=jaguillette&east=38.2875&name=%D0%9C%D0%B0%D1%8F%D0%BA%D0%B8&north=51.5689&south=48.4869&west=33.5563&featureClass=P,geonames,Харьковскаго Намѣстничества,Харьковского Наместничества,харьковск,Изюма,72
1213,1,420,Медынь,,12.0,35.85861,54.96917,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=72,"МЕДЫНЬ , городъ Калужскаго Намѣстничества. Въ немъ, кромѣ еженедѣльнаго торгу, бываетъ Іюля 8 дня годовая ярмарка, на которую пріѣзжаютъ купцы изъ разныхъ городовъ съ шелковыми, бумажными и москотильными низкихъ цѣнъ товарами, съ сахаромъ и кофіемъ.",Медынь,Medyn',"Medyn, Kaluga Oblast",Russia,RU,Medyn',Медынь,Kaluga,Russia,527869,http://api.geonames.org/search?type=json&username=jaguillette&east=37.3796&name=%D0%9C%D0%B5%D0%B4%D1%8B%D0%BD%D1%8C&north=55.374&south=53.2604&west=33.3881&featureClass=P,geonames,Калужскаго Намѣстничества,Калужского Наместничества,калужск,not_in_text,73
1214,1,421,Мена,,38.0,32.21568,51.5217,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=72,"МЕНА, мѣстечко Черниговскаго Намѣстничества. Въ ономъ бываетъ въ году двѣ ярмарки : одна Маія 9, въ день Святаго Николая, другая 8 Сентября, въ день Рождества Богоматери. На оныхъ и недѣльныхъ съѣздахъ торгуютъ окольные  жители и пріѣзжіе изъ городовъ купцы мѣлочными лавочными товарами, рогатымъ скотомъ, лошадьми, хлѣбомъ, рыбою, Крымскою солью и прочими съѣстными и питейными припасами , также и рукодѣльными вещами.",Мена,Mena,"Mena, Chernihivs'ka oblast",Ukraine,UA,Mena,Мена,Chernihiv,Ukraine,701372,http://api.geonames.org/search?type=json&username=jaguillette&east=35.3&name=%D0%9C%D0%B5%D0%BD%D0%B0&north=55.5&south=47.5&west=27.3&featureClass=P,geonames,Черниговскаго Намѣстничества,Черниговского Наместничества,черниговск,not_in_text,73
1217,1,424,Мещовскъ,,12.0,35.28083,54.32444,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=72,"МЕЩОВСКЪ, городъ Калужскаго Намѣстничества, Здѣсь бываетъ одна въ году ярмарка Іюля 29 дня; торгъ продолжается три дни ; на оную пріѣзжаютъ изъ разныхъ городовъ купцы со всякими товарами, а по большей части крестьяне съ Пенькою и хлѣбомъ.",Мещовск,"Meshchovsk""","Meshchovsk, Kaluga Oblast",Russia,RU,Meshchovsk,Мещовск,Kaluga,Russia,527405,http://api.geonames.org/search?type=json&username=jaguillette&east=37.3796&name=%D0%9C%D0%B5%D1%89%D0%BE%D0%B2%D1%81%D0%BA&north=55.374&south=53.2604&west=33.3881&featureClass=P,geonames,Калужскаго Намѣстничества,Калужского Наместничества,калужск,not_in_text,73
1220,1,426,Милославичи,,78.0,32.253,53.6882,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=73,"МИЛОСЛАВИЧИ, мѣстечко Могилевскаго Намѣстничества въ Климовицкомъ уѣздѣ. Въ ономъ бываетъ одна годовая ярмарка.",Милославичи,Miloslavichi,"Klimavichy District, Mogilev Province",Belarus,BY,Miloslavichi,Милославичи,Mogilev,Belarus,625157,http://api.geonames.org/search?type=json&username=jaguillette&east=32.863&name=%D0%9C%D0%B8%D0%BB%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%87%D0%B8&north=55.194&south=51.9042&west=29.5408&featureClass=P,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,Климовицкомъ уѣздѣ,74
1221,1,427,Миргородъ,,13.0,33.60886,49.96854,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=73,"МИРГОРОДЪ , городъ Кіевскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарми: первая на срединѣ великаго поста , другая въ день праздника Вознесенія Христова , третія Сентября 8 , четвертая Декабря 6 чиселъ; торгуютъ ва оныхъ пріѣзжіе изъ уѣзду жители разными мѣдкими товарами , тамъ родящимися и дѣлающимися, какъ - то хлѣбомъ , горячимъ виномъ, разнымъ скотомъ, овчинами , кожами ; иногда пріѣзжаютъ и Великороссійскіе купцы съ краснымъ товаромъ и прочимъ.",Миргород,"Mirgorod""","Myrhorod, Poltavs'ka oblast",Ukraine,UA,Myrhorod,Миргород,Poltava,Ukraine,701075,http://api.geonames.org/search?type=json&username=jaguillette&east=34.35625&name=%D0%9C%D0%B8%D1%80%D0%B3%D0%BE%D1%80%D0%BE%D0%B4&north=51.49413&south=49.08008&west=29.72503&featureClass=P,geonames,Кіевскаго Намѣстничества,Киевского Наместничества,киевск,not_in_text,74
1222,1,428,Мирополье,,37.0,35.26233,51.023,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=73,"МИРОПОЛЬЕ, городъ Харьковскаго Намѣстничества. Въ семъ городѣ бываютъ въ году три ярмарки : первая на пятой недѣлѣ великаго поста, вторая на седьмой недѣлѣ по Пасхѣ, третія Сентября 1 дня. На оныя пріѣзжаютъ купцы изъ ближнихъ Великороссійскихъ городовъ , и привозятъ всякіе внутренніе мѣлкіе товары, торгуютъ также скотомъ и лошадьми.",Мирополье,Miropol'e,"Myropillya, Sums'ka oblast",Ukraine,UA,Myropillya,Мирополье,Sumy,Ukraine,701020,http://api.geonames.org/search?type=json&username=jaguillette&east=38.2875&name=%D0%9C%D0%B8%D1%80%D0%BE%D0%BF%D0%BE%D0%BB%D1%8C%D0%B5&north=51.5689&south=48.4869&west=33.5563&featureClass=P,geonames,Харьковскаго Намѣстничества,Харьковского Наместничества,харьковск,not_in_text,74
1223,1,429,Миротино,,73.0,37.70476,54.63291,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=73,"МИРОТИНО , село Тульскаго Намѣстничества въ Каширскомъ уѣздѣ. Въ ономъ бываетъ ярмарка Іюля 20. Купцы привозятъ товары на продажу изъ Каширы , Гуды, Серпухова, Венева и Зарайска по малому числу москотильные и мѣлочные и съѣстные припасы; отъ обывателей уѣздныхъ въ продажѣ бываетъ пенька, медъ, воскъ, деревинное издѣлье.",Миротино,Mirotino,"Mirotinskiy, Tula Oblast",Russia,RU,Mirotinskiy,Миротино,Tula,Russia,817097,http://api.geonames.org/search?type=json&username=jaguillette&east=39.6827&name=%D0%9C%D0%B8%D1%80%D0%BE%D1%82%D0%B8%D0%BD%D0%BE&north=55.0867&south=52.8329&west=35.5421&featureClass=P,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,Каширскомъ уѣздѣ,74
1224,1,430,Митякинская,,,39.7831,48.6104,станица,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=73,"МИТЯКИНСКАЯ , станица Донскихъ Козаковъ. Въ ней всякой годъ въ десятую пятницу по Пасхѣ бываетъ ярмарка, на которую пригоняютъ скотъ , также привозятъ вялую рыбу , холстъ, шелковыя матеріи, сукна, деготь и горячіе напитки.",Митякинская,Mitiakinskaia,"Mityakinskaya, Rostov Oblast",Russia,RU,Mityakinskaya,Митякинская,Rostov,Russia,526040,http://api.geonames.org/search?type=json&username=jaguillette&east=180&name=%D0%9C%D0%B8%D1%82%D1%8F%D0%BA%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F&north=78.0&south=38.6&west=24.8&featureClass=P,geonames,not_in_text,not_иn_text,нот_ин_теxт,not_in_text,74
1225,1,431,Михайловъ,,28.0,39.0269,54.2298,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=73,"МИХАЙЛОВЪ, городъ Рязанскаго Намѣстничества. Въ немъ каждой годъ о десятой недѣлѣ по Пасхѣ въ пятокъбываетъ ярмарка , на которой купцы изъ ближнихъ городовъ торгуютъ мѣлочнымъ товаромъ.",Михайлов,"Mikhailov""","Mikhaylov, Ryazan Oblast",Russia,RU,Mikhaylov,Михайлов,Rjazan,Russia,527034,http://api.geonames.org/search?type=json&username=jaguillette&east=41.6952&name=%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2&north=55.9254&south=53.0517&west=38.154&featureClass=P,geonames,Рязанскаго Намѣстничества,Рязанского Наместничества,рязанск,not_in_text,74
1332,1,436,Мишуринъ Рогъ,,8.0,33.94792,48.81817,шанцъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=74,"МИШУРИНЪ РОГЪ, шанцъ Екатеринославскаго Намѣстничества. Въ ономъ бываетъ въ году три ярмарки.",Мишурин Рог,"Mishurin"" Rog""","Myshuryn Rih, Dnipropetrovsk Oblast",Ukraine,UA,Myshuryn Rih,Мишурин Рог,Dnipropetrovsk,Ukraine,701000,http://api.geonames.org/search?type=json&username=jaguillette&east=39.14&name=%D0%9C%D0%B8%D1%88%D1%83%D1%80%D0%B8%D0%BD+%D0%A0%D0%BE%D0%B3&north=49.99&south=46.07&west=29.6&featureClass=P,geonames,Екатеринославскаго Намѣстничества,Екатеринославского Наместничества,екатеринославск,not_in_text,75
1333,1,437,Можайскъ,,1.0,36.02722,55.50194,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=74,"МОЖАЙСКЪ, городъ Московской Губерніи. Въ ономъ , кромѣ еженедѣльнаго по понедѣльникамъ торговаго дня, ярмарка бываетъ въ имѣющихся въ семъ городѣ рядахъ Іюня 29 дня; на оную пріѣзжаютъ изъ ближнихъ къ нему городовъ , изъ Тулы , Калуги , Боровска и Вереи съ разными шелковыми и прочими мѣлочными товарами.",Можайск,"Mozhaisk""","Mozhaysk, Moscow Oblast",Russia,RU,Mozhaysk,Можайск,Moskovskaya,Russia,524712,http://api.geonames.org/search?type=json&username=jaguillette&east=40.3419&name=%D0%9C%D0%BE%D0%B6%D0%B0%D0%B9%D1%81%D0%BA&north=56.981&south=54.2132&west=34.3446&featureClass=P,geonames,Московской Губерніи,Московской Губернии,московск,not_in_text,75
1334,1,438,Молвитино,,14.0,41.59483,58.14881,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=74,"МОЛВИТИНО , село Костромскаго Намѣстничества около слободы Судиславля. Здѣсь бываетъ годовая ярмарка Іюня 16 дня, для котораго торгу построены и лавки.",Молвитино,Molvitino,"Susaninsky District, Kostroma Oblast",Russia,RU,Susanino,Молвитино,Kostroma,Russia,486015,http://api.geonames.org/search?type=json&username=jaguillette&east=44.933333&name=%D0%9C%D0%BE%D0%BB%D0%B2%D0%B8%D1%82%D0%B8%D0%BD%D0%BE&north=61.766667&south=53.766667&west=36.933333&featureClass=P,geonames,Костромскаго Намѣстничества,Костромского Наместничества,кострома,not_in_text,75
1345,1,441,Монастырщина,,16.0,31.83795,54.34961,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=75,"МОНАСТЫРЩИНА, мѣстечко Могилевскаго Намѣстничества. Въ немъ бываетъ одна ярмарка въ году.",Монастырщина,Monastyrshchina,"Monastyrshchina, Smolensk Oblast",Russia,RU,Monastyrshchina,Монастырщина,Smolensk,Russia,525426,http://api.geonames.org/search?type=json&username=jaguillette&east=32.863&name=%D0%9C%D0%BE%D0%BD%D0%B0%D1%81%D1%82%D1%8B%D1%80%D1%89%D0%B8%D0%BD%D0%B0&north=55.194&south=51.9042&west=29.5408&featureClass=P,geonames,Могилевскаго Намѣстничества,Могилевского Наместничества,могилевск,not_in_text,76
1348,1,443,Моршанскъ,,32.0,41.81065,53.44354,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=75,"МОРШАНСКЪ, городъ Тамбовскаго Намѣстничества. Въ немъ бываетъ одна въ году 15 Августа ярмарка , на которой торгуютъ одни здѣшніе купцы ; сверхъ того зимою съ перваго до послѣдняго пути ежедневные отправляются торги , на которые въ немаломъ количествѣ привозятъ всякаго рода хлѣбъ.",Моршанск,"Morshansk""","Morshansk, Tambov Oblast",Russia,RU,Morshansk,Моршанск,Tambov,Russia,525138,http://api.geonames.org/search?type=json&username=jaguillette&east=45.433333&name=%D0%9C%D0%BE%D1%80%D1%88%D0%B0%D0%BD%D1%81%D0%BA&north=56.716667&south=48.716667&west=37.433333&featureClass=P,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,not_in_text,76
1349,1,444,Мосальскъ,,12.0,34.98167,54.48806,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=75,"МОСАЛЬСКЪ, городъ Калужскаго Намѣстничества. Въ немъ бываютъ въ годъ три ярмарки: Апрѣля 23, Іюля 8 и Ноября 26, продолжающіяся только по одному дню.",Мосальск,"Mosal'sk""","Mosalsk, Kaluga Oblast",Russia,RU,Mosal'sk,Мосальск,Kaluga,Russia,525084,http://api.geonames.org/search?type=json&username=jaguillette&east=37.3796&name=%D0%9C%D0%BE%D1%81%D0%B0%D0%BB%D1%8C%D1%81%D0%BA&north=55.374&south=53.2604&west=33.3881&featureClass=P,geonames,Калужскаго Намѣстничества,Калужского Наместничества,калужск,not_in_text,76
1350,1,445,Мостки,,8.0,38.47943,49.34553,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=75,"МОСТКИ, мѣстечко Екатеринославскаго Намѣстничества. Въ ономъ бываетъ въ году три ярмарки.",Мостки,Mostki,"Mistky, Luhans'ka oblast",Ukraine,UA,Mistky,Мостки,Luhansk,Ukraine,700692,http://api.geonames.org/search?type=json&username=jaguillette&east=39.14&name=%D0%9C%D0%BE%D1%81%D1%82%D0%BA%D0%B8&north=49.99&south=46.07&west=29.6&featureClass=P,geonames,Екатеринославскаго Намѣстничества,Екатеринославского Наместничества,екатеринославск,not_in_text,76
1351,1,446,Мостовское,,129.0,57.02846,56.54404,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=75,"МОСТОВСКОЕ , село Уфимскаго Намѣстничества въ Челябинскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка въ день Вознесенія Господня и Ноября 21; на оныхъ торгъ производятъ разными мѣлочными товарами.",Мостовское,Mostovskoe,"Sars, Perm Krai",Russia,RU,Mostovskoye,Мостовское,Perm,Russia,524805,http://api.geonames.org/search?type=json&username=jaguillette&east=59.966667&name=%D0%9C%D0%BE%D1%81%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5&north=58.733333&south=50.733333&west=51.966667&featureClass=P,geonames,Уфимскаго Намѣстничества,Уфимского Наместничества,уфимск,Челябинскомъ уѣздѣ,76
1354,1,449,Мринъ,,77.0,31.55242,51.05368,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=76,"МРИНЪ, мѣстечко Кіевскаго Намѣстничества и уѣзду. Здѣсь бываетъ одна въ году ярмарка; съѣзжаются на оную съ мѣлочными товарами , съестными  и питейными припасами.",Мрин,"Mrin""","Mryn, Chernihivs'ka oblast",Ukraine,UA,Mrin,Мрин,Chernihiv,Ukraine,700659,http://api.geonames.org/search?type=json&username=jaguillette&east=34.35625&name=%D0%9C%D1%80%D0%B8%D0%BD&north=51.49413&south=49.08008&west=29.72503&featureClass=P,geonames,Кіевскаго Намѣстничества,Киевского Наместничества,киевск,Кіевскаго уѣздѣ,77
