,text,_type,name,google_reconcile,google_lat,google_lng,google_url,geo_placename,geo_lat,geo_lng,geo_id,geo_url
АЛЕКСѢЕВКА," </span><span class=""font0"" style=""font-style:italic;"">слобода </span><span class=""font0"">Графа Шереметева, вЪ Воронежскомъ Намѣстничествѣ около слободы же Усерда. Здѣсь бываетъ вЪ годЪ четыре ярмарки: первая на день Алексія человѣка Божія, вторая о Троицкой недѣлѣ , третія вЪ Воздвиженіе честнаго Креста, четвертая на день святыхъ мученикЪ Космы и Даміана Ноября 1 дня; иностранныхъ купцовъ не бываетъ, а пріѣзжаютъ Россійскіе сЪ разными товарами.</span>",слобода,АЛЕКСѢЕВКА,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=АЛЕКСѢЕВКА,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=АЛЕКСѢЕВКА
АЛЕКСѢЕВСКАЯ," </span><span class=""font0"" style=""font-style:italic;"">крѣпость </span><span class=""font0"">Екатеринославскаго Намѣстничества по Днѣпровской линіи ; вЪ оной бываютъ вЪ году три ярмарки.</span>",крѣпость,АЛЕКСѢЕВСКАЯ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=АЛЕКСѢЕВСКАЯ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=АЛЕКСѢЕВСКАЯ
АЛЕШНЯ," </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Курскаго Намѣстничества вЪ БѣлогородскомЪ уѣздѣ; вЪ оной бываетЪ вЪ году три ярмарки : первая Іюля 17, вторая Сентября 6, третія Декабря 4. Купцы на оныя пріѣзжаютъ изЪ ближайшихъ городовЪ; торгуютЪ сукнами, шелковыми , бумажными и набойчатыми товарами , желѣзомъ, полотномъ , посудою и прочимЪ.</span>",слобода,АЛЕШНЯ,"Aleshnya, Ryazan Oblast, Russia, 391122",54.6523042,39.344399,https://maps.googleapis.com/maps/api/geocode/json?address=АЛЕШНЯ,Алешня,54.97167,35.31222,815668,http://api.geonames.org/search?username=jaguillette&type=json&name=АЛЕШНЯ
АНАЕВО," </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тамбовскаго Намѣстничества около посада Кадома; здѣсь одна бываетъ ярмарка вЪ году, на которую пріѣзжаютъ купцы изЪ ближнихЪ городовъ</span>сЪ шелковыми , бумажными и другими мѣдочными товарами.",село,АНАЕВО,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=АНАЕВО,Anayevo,54.2354,42.5668,582140,http://api.geonames.org/search?username=jaguillette&type=json&name=АНАЕВО
АНДРЕЕВКА," </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Харьковскаго Намѣстничества вЪ ИзюмскомЪ уѣздѣ ; вЪ оной бываетъ вЪ году двѣ ярмарки : первая Іюля 20, вЪ день Пророка Иліи, вторая Октября </span><span class=""font0"" style=""font-style:italic;"">26, </span><span class=""font0"">вЪ день Великомученика Димитрія. Купцы на оныя пріѣзжаютъ изЪ разныхъ РосссійскихЪ городовъ сЪ шелковыми , бумажными , гарусными и прочими товарами.</span>",слобода,АНДРЕЕВКА,"Andreevka, Moskovskaya oblast, Russia",55.979722,37.135278,https://maps.googleapis.com/maps/api/geocode/json?address=АНДРЕЕВКА,Andreevka,54.51684,68.27693,1526303,http://api.geonames.org/search?username=jaguillette&type=json&name=АНДРЕЕВКА
АНТОНОВКА," </span><span class=""font0"" style=""font-style:italic;"">мѣстечко </span><span class=""font0"">Могилевскаго Намѣстничества вЪ РогачевскомЪ уѣздѣ; здѣсь бываетъ вЪ году три ярмарки.</span>",мѣстечко,АНТОНОВКА,"Antonivka, Khersons'ka oblast, Ukraine",46.6792807,32.6902347,https://maps.googleapis.com/maps/api/geocode/json?address=АНТОНОВКА,Antonovka,53.99387,56.28251,581498,http://api.geonames.org/search?username=jaguillette&type=json&name=АНТОНОВКА
АПИЧЕРСКАЯ," </span><span class=""font0"" style=""font-style:italic;"">пустыня </span><span class=""font0"">Синбирскаго Намѣстничества вЪ АлатырьскомЪ уѣздѣ; здѣсь бываетЪ ярмарка вЪ день Каванскія Богородицы. На сію ярмарку пріѣзжаютъ со всякими шелковыми и прочими товарами изЪ Москвы и изЪ другихЪ городовЪ купцы, такожь и крестьяне.</span>",пустыня,АПИЧЕРСКАЯ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=АПИЧЕРСКАЯ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=АПИЧЕРСКАЯ
АРГАМАЧЬЯ ," </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Орловскаго Намѣстничества вЪ ЕлецкомЪ уѣздѣ. Здѣсь бываетъ ярмарка Сентября 8 дня, на которой торгуютъ Елецкіе и другихЪ городовъ купцы сЪ уѣздными обывателями всякими разными мѣлочными товарами и дегтемЪ; а обыватели продаютъ купцамъ и своей братьи лошадей, скотину, холстЪ, сЪѣстные всякіе припасы и рукодѣлія.</span>",слобода,АРГАМАЧЬЯ ,"Argamak, Bashkortostan, Russia",55.4661364,54.8886283,https://maps.googleapis.com/maps/api/geocode/json?address=АРГАМАЧЬЯ ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=АРГАМАЧЬЯ 
АРЗАМАСЪ," </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Нижегородскаго Намѣстничества. Здѣсь обыкновенно бываетъ торговыхъ вЪ недѣлѣ два Дни.</span>",городъ,АРЗАМАСЪ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=АРЗАМАСЪ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=АРЗАМАСЪ
АРТЕМОНОВКА ," </span><span class=""font0"" style=""font-style:italic;"">слобода </span><span class=""font0"">Харьковскаго Намѣстничества и уѣзду; здѣсь бываютъ ярмарки Іюля 8 и Ноября 21, Торгуютъ купцы мѣлочными товарами , пивомЪ, медомЪ и прочимъ.</span>",слобода,АРТЕМОНОВКА ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=АРТЕМОНОВКА ,Artimonovca,46.59639,28.59083,618633,http://api.geonames.org/search?username=jaguillette&type=json&name=АРТЕМОНОВКА 
АРХАНГЕЛЬСКОЕ," ЗМѢЕВКА тожь, </span><span class=""font0"" style=""font-style:italic;"">седо</span><span class=""font0""> Рязанскаго Намѣстничества вЪ ДонковскомЪ уѣздѣ ; вЪ ономЪ бываютъ вЪ году двѣ ярмарки: первая Февраля 2 вЪ день Срѣтенія Господня , внорая Ноября 8, вЪ день Архистратига Михаила. Сюда пріѣзжаютъ купцы сЪ разными мѣлочными. товарами.</span>",седо,АРХАНГЕЛЬСКОЕ,"Arkhangelskoye, Moskovskaya oblast, Russia",55.7882944,37.2961886,https://maps.googleapis.com/maps/api/geocode/json?address=АРХАНГЕЛЬСКОЕ,Arkhangel'skoye,59.0323,54.9775,580982,http://api.geonames.org/search?username=jaguillette&type=json&name=АРХАНГЕЛЬСКОЕ
АРХАНГЕЛЬСКЪ," </span><span class=""font0"" style=""font-style:italic;"">главный городъ</span><span class=""font0""> Намѣстничества сего имени.Въ немЪ бываетъ каждой годЪ ярмарка , которая начинается вЪ Маіѣ мѣсяцѣ сЪ приходомъ изЪ Россіи барокЪ, а изЪ за моря кораблей; прямая же, или валовая начинается всегда вЪ Іюнѣ, а оканчивается вЪ первыхъ числахъ Октября ; на ней бываетъ торговля ме-</span>жду иностранными и Россійскими купцами Россійскими и иностранными товарами , продолжающаяся во время мореплаванія, на которую ярмарку иностранные купцы всякіе иностранные товары чрезЪ море на корабляхъ изЪ чужихЪ краевЪ кЪ Архангельскому порту привозятЪ; а Россійскіе вЪ тѣ мѣста отпускаютъ всякіе привозимые чрезЪ верховые города водою и сухимЪ путемЪ Россійскіе, Китайскіе, Персидскіе, Турецкіе и прочіе Азіатскіе и другіе иностранные товары для народнаго употребленія, а не вЪ отвозЪ вЪ чужіе край, а именно же: привозимыя вина Французскія, Португальскія, Гишпанскія и Нѣмецкія лучшія и ординарныя, ромЪ, уксусЪ, водка венгерская, еликсирЪ , винной, камень , сукна Голландскія , Аглинскія , Гамбурскія, Шлезскія и прочія лучшія и ординарныя, лоскутья и покроми суконныя , стамеды , штофы и прочія тому подобныя шерстяныя матеріи ; штофы и прочія шелковыя и полушелковыя парчи и ленты , выбойки , полотна Голландскія, олово вЪ блюдахЪ и торѢлкахЪ и прочихЪ мѣдочахъ , прутовое и вЪ слиткахЪ , свинецЪ, желѣзо листовое , иглы , ножи , вилки , ножницы и прочіе желѣзные товары; квасцы, ртуть, сѣра горючая , шелакЪ, шпіатерЪ, масло деревянное, винныя ягоды , изюмЪ , коринка , смоквы, черносливъ, ядры мигдальныя , кофе , чай , перецЪ , орѣшки чернильныя , сандалЪ, сахарЪ, лимоны, померанцы и прочіе фрукты свѣжіе и вЪ винѣ; гвоздика, корица и прочія пряныя зелья ; канфара, ладонЪ росной и простой, изЪ гумми разныхъ сортовЪ; посуда стеклянная, цѣнинная и каменая , стеклы окончинныя и бутылки , сыры , патока черная, пшено сорочинское , свѣтильня бумажная, бобры, выдры, лисицы; краски , консель брусковая, киноварь, оринакЪ; чулки шелковые и шерстяные , также и прочіе отпускные , какЪ - то: хлѣбъ , сѣмя льняное, сало говяжье и ворванная смола, юфть, желѣзо полосное и гвозди желѣзные , пенька, ленѣ , рогожии кульки рогожные ; щетина , канаты и веревки пеньковыя и пакальныя , пряжа канатная, воскЪ, гривы конскія , кости , кожи моржевыя , мыло ; мягкая рухлядь , куницы , горнаcтаи , россомахи , бѣлки , песцы, зайчины , мѣхи бѣльи и заячьи </span><span class=""font0"" style=""font-style:italic;"">, </span><span class=""font0"">кожи медвежьи, кошечьи и волчьи; полотна гладкія и салфеточныя широкія и узкія и брань уѣздной работы, Фламскія парусныя и равендукЪ холстЪ , хрящЪ, посуда деревянная, свѣчи сальныя, языки говяжьи копченые, губа лиственная , клей Сибирской, кожи подошевныя и ворванныя, сукна сермяжныя и чирковыя туфли, чаи жуланЪ и простой, бадьянЪ, масло коровье льняное и конопляное, медЪ сырецЪ, рога оленьи , мясо говяжье соленое , семга соленая , пряники медовые.",главный городъ,АРХАНГЕЛЬСКЪ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=АРХАНГЕЛЬСКЪ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=АРХАНГЕЛЬСКЪ
АСАКОВО ," </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тульскаго Намѣстничества вЪ ВеневскомЪ уѣздѣ </span><span class=""font0"" style=""font-style:italic;"">;</span><span class=""font0""> здѣсь бываетъ годовая ярмарка Іюля 8 числа; пріѣзжаютъ на оную разныхъ городовъ купцы сЪ товарами.</span>",село,АСАКОВО ,"Asakovo, Moskovskaya oblast, Russia, 143078",55.537222,36.63,https://maps.googleapis.com/maps/api/geocode/json?address=АСАКОВО ,Asakovo,55.54,36.62784,580691,http://api.geonames.org/search?username=jaguillette&type=json&name=АСАКОВО 
АСТРАХАНЬ ," </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Кавказскаго Намѣстничества.Въ семЪ городѣ бываетъ ярмарка каждолѢтно; Россійскіе купцы, Армяне и Татары торгуютъ сЪ Персіанами, Армянами, Индѣйцами и прочими, разными Европейскими и Азіатскими товарами.</span>",городъ,АСТРАХАНЬ ,"Astrakhan, Astrakhan Oblast, Russia",46.323611,48.036667,https://maps.googleapis.com/maps/api/geocode/json?address=АСТРАХАНЬ ,Astrakhan,46.34968,48.04076,580497,http://api.geonames.org/search?username=jaguillette&type=json&name=АСТРАХАНЬ 
АТЕМАРЪ," </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Пензенскаго Намѣстничества вЪ Саранскомъ уѣздѣ. Здѣсь бываетъ ярмарка вЪ послѣднихъ числахъ Іюля мѣсяца; привозятъ купцы разные мѣлочные шелковые товары.</span>",село,АТЕМАРЪ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=АТЕМАРЪ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=АТЕМАРЪ
АТКАРСКЪ," </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Саратовскаго Намѣстничества; здѣсь вЪ городѣ бываетЪ еженедѣльной торгЪ, а вЪ округъ онаго вЪ нѣкоторымъ селеніяхъ на рѣчкѣ </span><span class=""font0"" style=""font-style:italic;"">Терсѣ </span><span class=""font0"">и</span><span class=""font0"" style=""font-style:italic;""> Болондѣ</span><span class=""font0""> торж-</span>к и, гдѣ производятся продажи , также какЪ и вЪ другихЪ сей Губерніи мѣстахъ.",городъ,АТКАРСКЪ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=АТКАРСКЪ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=АТКАРСКЪ
АХТЫРКА ," </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Харьковскаго Намѣстничества; вЪ немЪ бываетЪ четыре ярмарки: первая о всеѣдной недѣлѣ, вторая Маія 9, третія Іюля четвертая Октября 28 дня; купцы пріѣзжаютъ изЪ раз ныхЪ городовъ, привозятъ парчи , шелковыя матеріи и серебро вЪ дѣлѣ; торгуютЪ также скотомЪ , лошадьми и прочимъ.</span>",городъ,АХТЫРКА ,"Okhtyrka, Sums'ka oblast, Ukraine",50.3,34.9,https://maps.googleapis.com/maps/api/geocode/json?address=АХТЫРКА ,Akhtyrka,55.71083,76.40283,1512052,http://api.geonames.org/search?username=jaguillette&type=json&name=АХТЫРКА 
БАЕВКА," </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> вЪ Сибири на вершинѣ рѣки </span><span class=""font0"" style=""font-style:italic;"">Свіаги</span><span class=""font0"">; вЪ ономЪ всякое Воскресенье бываетъ торгЪ.</span>",село,БАЕВКА,"Baevka, Ulyanovsk Oblast, Russia, 433826",53.0906696,47.2549369,https://maps.googleapis.com/maps/api/geocode/json?address=БАЕВКА,Bayevka,53.59693,47.61381,578593,http://api.geonames.org/search?username=jaguillette&type=json&name=БАЕВКА
БАЛАКЛЕЕВЪ ," </span><span class=""font0"" style=""font-style:italic;"">мѣстечко </span><span class=""font0"">Харьковскаго Намѣстничества вЪ ИзюмовскомЪ уѣздѣ.Въ ономЪ бываетъ вЪ году пять ярмарокъ: первая вЪ недѣлю Ваій, вторая Іюля 12</span><span class=""font0"" style=""font-style:italic;"">,</span><span class=""font0""> третія Августа 1, четвертая Сентября 23, пятая Декабря б чиселъ, на которыя пріѣзжаютъ купцы изЪ разныхъ городовъ сЪ шелковыми , бумажными, гарусными и прочими товарами.</span>",мѣстечко,БАЛАКЛЕЕВЪ ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=БАЛАКЛЕЕВЪ ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=БАЛАКЛЕЕВЪ 
БАЛАХНА ," </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Нижегородскаго Намѣстничества.Въ ономЪ бываютъ каждую недѣлю по середамЪ и пятницамъ, а вЪ зимнее время и по воскресеньямъ торги, на которые крестьяне привозятъ болѣе хлѣбъ, сЪѣстные припасы и разныя для жителей потребности.</span>",городъ,БАЛАХНА ,"Balakhna, Nizhny Novgorod Oblast, Russia",56.48333299999999,43.616667,https://maps.googleapis.com/maps/api/geocode/json?address=БАЛАХНА ,Balakhna,56.48989,43.60114,579514,http://api.geonames.org/search?username=jaguillette&type=json&name=БАЛАХНА 
БАРКОВЪ," </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Полотскаго Намѣстничества вЪ ДинабургскомЪ уѣздѣ.Въ семЪ мѣстѣ бываетъ вЪ году двѣ ярмарки; торгуютъ Рижскаго Дворца крестьяне разными мѣлочными товарами , виномЪ и пивомЪ.</span>",мѣстечко,БАРКОВЪ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=БАРКОВЪ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=БАРКОВЪ
БАРЫШЕВКА," </span><span class=""font0"" style=""font-style:italic;"">мѣстечко </span><span class=""font0"">Кіевскаго Намѣстничества вЪ Переяславскомъ уѣздѣ.Въ ономЪ бываютъ вЪ году три ярмарки: первая Генваря 1, вторая Маія 9, третія Сентября 11 чиселЪ, на которыхЪ купцы торгуютъ разными мѣлочными товарами и привозимою изЪ Донскихъ станицЪ мѣлкою рыбою; а жители продаютЪ рогатой скотЪ, лошадей, хлѣбъ, смолу , горячее вино и Крымскую соль.</span>",мѣстечко,БАРЫШЕВКА,"Baryshivka, Kyivs'ka oblast, Ukraine",50.353889,31.316667,https://maps.googleapis.com/maps/api/geocode/json?address=БАРЫШЕВКА,Baryshevka,55.96667,58.48333,578929,http://api.geonames.org/search?username=jaguillette&type=json&name=БАРЫШЕВКА
БАСАНЬ ," </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> того же Намѣстничества и уѣзду. ВЪ ономЪ, кромѣ еженедѣльныхЪ по понедѣльникамъ торговЪ, бываетЪ вЪ году пят</span>ярмарокъ: первая вЪ день Вознесенія Господня , вторая вЪ день Св. АпостоловЪ Петра и Павла , третія вЪ день успенія Пресвятыя Богородицы, четвертая Сентября 2о, вЪ день Св. Евстафія, пятая Декабря 6, вЪ день Николая Чудотворца. Торгуютъ на оныхЪ разными мѣлочными товарами и привозимою изЪ ДонскихЪ станицЪ мѣлкою рыбою. Жители продаютЪ рогатой скотЪ , лошадей , хлѢбЪ, смолу, горячее вино и прочее; также привозятъ сюда для продажи жителямъ Крымскую соль.",мѣстечко,БАСАНЬ ,"Basan', Zaporiz'ka oblast, Ukraine",47.393649,36.159843,https://maps.googleapis.com/maps/api/geocode/json?address=БАСАНЬ ,Elbasan,41.1125,20.08222,783263,http://api.geonames.org/search?username=jaguillette&type=json&name=БАСАНЬ 
БАТРАКЪ," </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Синбирскаго Намѣстничества ниже города Сызрани.Въ немЪ сЪ 29 Іюня по 12 Іюля бываетъ годовая ярмарка, на которую особливо привозятЪ много уральской рыбы и икры.</span>",село,БАТРАКЪ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=БАТРАКЪ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=БАТРАКЪ
БАТУРИНЪ," </span><span class=""font0"" style=""font-style:italic;"">мѣстечко </span><span class=""font0"">Новогородскаго - Сѣверскаго Намѣстничества вЪ НѢжинскомЪ уѣздѣ. Здѣсь бываетъ вЪ году четыре ярмарки.</span>",мѣстечко,БАТУРИНЪ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=БАТУРИНЪ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=БАТУРИНЪ
БАХМАЧЬ," </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> того же Намѣстничества и уѣзду.Въ ономЪ бываетъ ярмарка вЪ день Преображенія; пріѣзжаютъ для торговли на оную изЪ ближнихЪ мѢстЪ сЪ солью, рыбою , горячимъ виномЪ , пивомЪ и прочимЪ.</span>",мѣстечко,БАХМАЧЬ,"Bakhmach, Chernihivs'ka oblast, Ukraine",51.2014581,32.7737765,https://maps.googleapis.com/maps/api/geocode/json?address=БАХМАЧЬ,Bakhmach,51.20093,32.77451,712966,http://api.geonames.org/search?username=jaguillette&type=json&name=БАХМАЧЬ
БЕЗГИНОВКА ," </span><span class=""font0"" style=""font-style:italic;"">мѣстечко </span><span class=""font0"">вЪ Екатеринославскомъ Намѣстничествѣ.Въ ономЪ бываетъ вЪ году шесть ярмарокъ.</span>",мѣстечко,БЕЗГИНОВКА ,not_found,not_found,not_found,https://maps.googleapis.com/maps/api/geocode/json?address=БЕЗГИНОВКА ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=БЕЗГИНОВКА 
БЕРЕЗИНЪ," или БЕРЕЗНА, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Черниговскаго Намѣстничества.Въ ономЪ бываютъ вЪ году двѣ ярмарки: первая</span>",городъ,БЕРЕЗИНЪ,"Svetlogorsk-Na-Berezin, Svietlahorsk, Belarus",52.6305,29.71609999999999,https://maps.googleapis.com/maps/api/geocode/json?address=БЕРЕЗИНЪ,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&name=БЕРЕЗИНЪ
БЕРЕЗНИКИ," </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> вЪ Саратовскомъ Намѣстничествѣ и уѣздѣ. Здесь бываетъ ярмарка вЪ послѣднихъ числахъ Іюля; привозятъ на оную купцы разные мѣлочные шелковые товары.</span>",село,БЕРЕЗНИКИ,"Berezniki, Perm Krai, Russia",59.416667,56.783333,https://maps.googleapis.com/maps/api/geocode/json?address=БЕРЕЗНИКИ,Berezniki,59.4091,56.8204,577206,http://api.geonames.org/search?username=jaguillette&type=json&name=БЕРЕЗНИКИ
